learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,metric,epochs,activation_layers,pca_threshold,pca,n_splits,class_weights_enabled,avg_score,avg_accuracy,avg_precision,avg_recall,avg_f1_score,avg_TP_accuracy,avg_TN_accuracy,avg_TP_TN_accuracy,confusion_matrix
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.1}]",,False,5,False,[1.80589977e-01 6.76680000e+03],0.9559516722049516,0.9559516722049516,1.0,0.9774788710504513,0.9559516722049516,0.0,0.4779758361024758,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.01}]",,False,5,False,[1.77018103e-01 6.76680000e+03],0.9559516722049516,0.9559516722049516,1.0,0.9774788710504513,0.9559516722049516,0.0,0.4779758361024758,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.001}]",,False,5,False,[1.8093572e-01 6.7668000e+03],0.9559516722049516,0.9559516722049516,1.0,0.9774788710504513,0.9559516722049516,0.0,0.4779758361024758,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",,False,5,False,[1.82436368e-01 6.76680000e+03],0.9559516722049516,0.9559516722049516,1.0,0.9774788710504513,0.9559516722049516,0.0,0.4779758361024758,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.1}]",,False,5,False,[1.80591798e-01 6.76680000e+03],0.9559516722049516,0.9559516722049516,1.0,0.9774788710504513,0.9559516722049516,0.0,0.4779758361024758,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",,False,5,False,[1.76155928e-01 6.76680000e+03],0.9559516722049516,0.9559516722049516,1.0,0.9774788710504513,0.9559516722049516,0.0,0.4779758361024758,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.001}]",,False,5,False,[1.7403982e-01 6.7668000e+03],0.9559516722049516,0.9559516722049516,1.0,0.9774788710504513,0.9559516722049516,0.0,0.4779758361024758,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,5,False,[1.78561103e-01 6.76680000e+03],0.9559516722049516,0.9559516722049516,1.0,0.9774788710504513,0.9559516722049516,0.0,0.4779758361024758,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",,False,5,False,[1.80580971e-01 6.76680000e+03],0.9559516722049516,0.9559516722049516,1.0,0.9774788710504513,0.9559516722049516,0.0,0.4779758361024758,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.01}]",,False,5,False,[1.79165083e-01 6.76840000e+03],0.9561777127873572,0.9565811779075611,0.9995269025779724,0.9775814031499426,0.9565811779075611,0.40631578947368413,0.6814484836906226,"[[6762    7]
 [ 297   12]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.001}]",,False,5,False,[1.76844859e-01 6.76740000e+03],0.9560364379223042,0.9564456982155634,0.9995271328330333,0.9775108772830257,0.9564456982155634,0.5009523809523809,0.7286990395839721,"[[6765    4]
 [ 303    6]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.0001}]",,False,5,False,[1.7341409e-01 6.7668000e+03],0.955951680188161,0.9563387264425647,0.9995567972145368,0.9774691966017052,0.9563387264425647,0.4666666666666667,0.7115026965546156,"[[6764    5]
 [ 302    7]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",,False,5,False,[1.80225956e-01 6.76680000e+03],0.9559516722049516,0.9559516722049516,1.0,0.9774788710504513,0.9559516722049516,0.0,0.4779758361024758,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.0001, 'l1_reg': 0.01}]",,False,5,False,[1.80982697e-01 6.77200000e+03],0.9566862711670308,0.9578193958964221,0.9986693203701883,0.9778169897335358,0.9578193958964221,0.6090476190476191,0.7834335074720206,"[[6761    8]
 [ 293   16]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,5,False,[1.78958666e-01 6.77080000e+03],0.9565167437239301,0.9579429866144944,0.9983448898168481,0.9777253941385823,0.9579429866144944,0.5669149357507481,0.7624289611826213,"[[6756   13]
 [ 290   19]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",,False,5,False,[1.74431407e-01 6.76720000e+03],0.9560081613946284,0.9575055762230212,0.9982851320169843,0.9774690152810376,0.9575055762230212,0.519107572585787,0.7383065744044042,"[[6758   11]
 [ 297   12]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.1, 'l1_reg': 0.1}]",,False,5,False,[2.52820486e-01 6.76580000e+03],0.9558104013315034,0.9560226045990113,0.9997633129409857,0.9774029355906034,0.9560226045990113,0.18333333333333332,0.5696779689661723,"[[6768    1]
 [ 307    2]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.1, 'l1_reg': 0.01}]",,False,5,False,[1.8871327e-01 6.7668000e+03],0.955951680188161,0.956158543931134,0.9997638545299223,0.9774738259561166,0.956158543931134,0.3,0.628079271965567,"[[6767    2]
 [ 305    4]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.1, 'l1_reg': 0.001}]",,False,5,False,[1.83962831e-01 6.76660000e+03],0.9559234196269039,0.9559505106479846,0.9999705362404242,0.9774641445962111,0.9559505106479846,0.0,0.4779752553239923,"[[6769    0]
 [ 309    0]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",,False,5,False,[1.84151182e-01 6.76600000e+03],0.955838657901156,0.9560495829421921,0.9997633601542173,0.9774170777415525,0.9560495829421921,0.33999999999999997,0.648024791471096,"[[6769    0]
 [ 307    2]]"
0.001,128,"(<class 'keras.optimizers.optimizer_experimental.adam.Adam'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False, 'learning_rate': 0.001}",<keras.losses.BinaryCrossentropy object at 0x00000212C1F10460>,"TrueNegatives(name=true_negatives_2,dtype=float32,thresholds=None)",100,"[{'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.01, 'l1_reg': 0.1}]",,False,5,False,[2.53173533e-01 6.76580000e+03],0.9558104133063174,0.9561522910046983,0.9996159867551393,0.977399912148577,0.9561522910046983,0.1576923076923077,0.556922299348503,"[[6763    6]
 [ 302    7]]"
