learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,metric,epochs,activation_layers,pca_threshold,pca,n_splits,class_weights_enabled,avg_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001}",<keras.src.losses.MeanAbsoluteError object at 0x000001660021DBB0>,"LogCoshError(name=logcosh,dtype=float32)",100,"[{'nodes': 64, 'activation': 'softsign', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.001, 'l1_reg': 0.001}, {'nodes': 64, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.1}]",,False,5,False,[13.05026188 12.37963428],13.050022724757579,10.19544291865241,0.5132157577186108
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001}",<keras.src.losses.MeanAbsoluteError object at 0x000001660021DBB0>,"LogCoshError(name=logcosh,dtype=float32)",100,"[{'nodes': 64, 'activation': 'softsign', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.001, 'l1_reg': 0.001}, {'nodes': 64, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",,False,5,False,[12.92413101 12.12900982],12.79771579336632,9.791825833695285,0.5657396804195598
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001}",<keras.src.losses.MeanAbsoluteError object at 0x000001660021DBB0>,"LogCoshError(name=logcosh,dtype=float32)",100,"[{'nodes': 64, 'activation': 'softsign', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.001, 'l1_reg': 0.001}, {'nodes': 64, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.001}]",,False,5,False,[12.89705811 12.12175293],12.79034912860428,9.848445935511624,0.5692860019053044
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001}",<keras.src.losses.MeanAbsoluteError object at 0x000001660021DBB0>,"LogCoshError(name=logcosh,dtype=float32)",100,"[{'nodes': 64, 'activation': 'softsign', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.001, 'l1_reg': 0.001}, {'nodes': 64, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,5,False,[12.89684563 12.12223835],12.790778307164116,9.772195357803195,0.5674561403508772
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001}",<keras.src.losses.MeanAbsoluteError object at 0x000001660021DBB0>,"LogCoshError(name=logcosh,dtype=float32)",100,"[{'nodes': 64, 'activation': 'softsign', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.001, 'l1_reg': 0.001}, {'nodes': 64, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",,False,5,False,[13.05032501 12.3797226 ],13.050130757518605,10.19866713821543,0.5132157577186108
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001}",<keras.src.losses.MeanAbsoluteError object at 0x000001660021DBB0>,"LogCoshError(name=logcosh,dtype=float32)",100,"[{'nodes': 64, 'activation': 'softsign', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.001, 'l1_reg': 0.001}, {'nodes': 64, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.01}]",,False,5,False,[12.94629707 12.12772636],12.797846605639126,9.766837541358809,0.5656828977650321
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001}",<keras.src.losses.MeanAbsoluteError object at 0x000001660021DBB0>,"LogCoshError(name=logcosh,dtype=float32)",100,"[{'nodes': 64, 'activation': 'softsign', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.001, 'l1_reg': 0.001}, {'nodes': 64, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.001}]",,False,5,False,[12.91287155 12.12831154],12.797840438208004,9.782555874341394,0.5674563531426065
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001}",<keras.src.losses.MeanAbsoluteError object at 0x000001660021DBB0>,"LogCoshError(name=logcosh,dtype=float32)",100,"[{'nodes': 64, 'activation': 'softsign', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.001, 'l1_reg': 0.001}, {'nodes': 64, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.0001}]",,False,5,False,[12.89999676 12.12613754],12.794570457573354,9.800555572874808,0.566826931576001
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001}",<keras.src.losses.MeanAbsoluteError object at 0x000001660021DBB0>,"LogCoshError(name=logcosh,dtype=float32)",100,"[{'nodes': 64, 'activation': 'softsign', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.001, 'l1_reg': 0.001}, {'nodes': 64, 'activation': 'relu', 'l2_reg': 0.0001, 'l1_reg': 0.1}]",,False,5,False,[13.03378849 12.32557716],12.99554870016117,10.138258423220524,0.5224853255549773
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001})",Adam,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'amsgrad': False, 'learning_rate': 0.001}",<keras.src.losses.MeanAbsoluteError object at 0x000001660021DBB0>,"LogCoshError(name=logcosh,dtype=float32)",100,"[{'nodes': 64, 'activation': 'softsign', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'tanh', 'l2_reg': 0.001, 'l1_reg': 0.001}, {'nodes': 64, 'activation': 'relu', 'l2_reg': 0.0001, 'l1_reg': 0.01}]",,False,5,False,[12.95089512 12.13882332],12.807614772754217,9.869179403629442,0.5683143621322386
