learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x00000275D77FB280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000275B65B4280>,StandardScaler(),IsolationForest(contamination=0.05),"[1.04986448e+01 2.05118896e+02 1.09439259e+01 1.26569366e+02
 1.43219728e+01 6.06060512e-02 1.02774029e+01 4.23359871e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.943926444074943,8.583054415475813,0.5303030303030303,-0.27316922563487334,-0.7707055462161071,13.104894333800353,9.954219531766682,7.561177169537694,8.523571295424084,0.5519332827899924,0.032001482399904205,-1.0557644168453575,-1.8297446065145193,15.439460712402765,11.741105182856947,9.273525456629704,10.066179469777621,0.5113122171945701,-0.029674213454848792,0.0011636344725277064,-0.8160799993691605,
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x00000275D77FB280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002752A4483D0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.05031147e+01 2.05387772e+02 1.09645119e+01 1.09962097e+02
 1.43313560e+01 7.57575706e-02 1.03005390e+01 2.92837620e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.964511544491526,8.734631766257722,0.5378787878787878,0.3293903467896293,-0.23307819954734454,13.110507981043252,9.989135044853288,7.737967340300937,8.493260454269103,0.5663381349507203,0.009368416226750309,-0.23050640106532258,-0.5684926920837345,15.482399863047341,11.680992060281568,9.040523518544163,10.149038540340706,0.504524886877828,-0.003803136866584539,0.002782639680082885,-0.012804161957613443,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x00000275D77FB280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000275205E0A90>,StandardScaler(),IsolationForest(contamination=0.05),"[1.04167376e+01 2.00733261e+02 1.08511953e+01 1.18137398e+02
 1.41680365e+01 1.59090891e-01 1.01880741e+01 2.55240202e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.851195810882567,8.336174296209059,0.5795454545454546,0.546735400629276,0.09228120371021653,13.056331260048943,9.914754073064222,7.483502714808284,8.508231282479572,0.5731614859742229,0.04194553679085052,0.10736144751359075,-0.5670239958037446,15.413510670636368,11.578813640806068,8.875971381147941,10.159474755828432,0.5226244343891403,0.014467702356123144,0.028206619573486833,0.021514649774915233,0.024634438119385597
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x00000275D77FB280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000027518002460>,StandardScaler(),IsolationForest(contamination=0.05),"[1.03695669e+01 1.99561386e+02 1.08233061e+01 1.29269669e+02
 1.41266193e+01 1.81818187e-01 1.01565466e+01 3.12129855e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.823305449108,8.243068804290692,0.5909090909090909,0.5391867645782673,-0.03915638985371683,13.034632794006821,9.841496083061232,7.329788783549417,8.559442942739302,0.5807429871114481,0.061624332070576,0.004101332956164183,-0.7734356317671256,15.436005024347148,11.612116040586937,8.851592631489812,10.154962657937865,0.504524886877828,0.01717456610461286,0.03939944908759443,0.026862587911970767,0.0325326169374479
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x00000275D77FB280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002745A5DA790>,StandardScaler(),IsolationForest(contamination=0.05),"[1.04818268e+01 2.01834366e+02 1.09003534e+01 1.40764130e+02
 1.42068424e+01 1.28787875e-01 1.02336302e+01 2.01786757e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.900352920353553,8.43337748279064,0.5643939393939394,-0.14267879083851362,-0.6654828646639821,13.01903570678922,9.876760273009394,7.555156660588066,8.478871149596252,0.5754359363153905,0.032772241186236686,-0.6191261540099008,-0.9571231818654251,15.43469822245991,11.67417856478816,9.097028475685434,10.100426272797739,0.5113122171945701,-0.010077093580548606,0.011347573802844041,-0.02910304414105208,
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x00000275D77FB280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000274DD3CEF40>,StandardScaler(),IsolationForest(contamination=0.05),"[1.04638281e+01 2.01750473e+02 1.09063835e+01 1.23559555e+02
 1.42038889e+01 1.28787875e-01 1.02443771e+01 2.05859542e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.906383797079622,8.349251798934546,0.5643939393939394,0.3989933225411895,-0.06864561853691156,13.022760957637606,9.878265481678637,7.570608511064726,8.491021962863647,0.5716451857467779,0.030794061331406067,-0.5244376538470076,-1.252669310204776,15.499490413087187,11.709422062566007,8.866795131435662,10.153245206824149,0.504524886877828,0.015486575679881771,0.02314031850564392,0.020608815785462347,0.021837915681212364
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x00000275D77FB280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000274DD4A75E0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.04543552e+01 1.97995117e+02 1.08236160e+01 1.37644379e+02
 1.40710735e+01 1.43939391e-01 1.01562748e+01 3.88166308e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.823616444801795,8.492328397673457,0.571969696969697,0.6111285028827121,0.1268171974858669,12.790815964060833,9.694511622778105,7.433275873862133,8.362049457595544,0.5943896891584534,0.048375687346704103,-0.5938748201635115,-0.8320101964474611,15.654833074492842,11.846883873081113,8.78140522390443,10.23525169257686,0.5,0.024967736462305237,0.03667171190450467,0.032936324761730446,0.034753869034330295
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x00000275D77FB280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000027586C43B50>,StandardScaler(),IsolationForest(contamination=0.05),"[1.03221073e+01 1.96496368e+02 1.07446747e+01 1.26395432e+02
 1.40177164e+01 2.50000000e-01 1.00873489e+01 4.60923910e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.744675175337068,8.366356681636882,0.625,0.4597304076797483,-0.0628135243878365,12.79268752842877,9.675270740957592,7.488498305969905,8.377498299636057,0.6019711902956786,0.041305990232086184,-0.4968913906904678,-1.0023293457975193,15.51522110671104,11.716634835095453,8.849149356193966,10.167532817560781,0.5226244343891403,0.01744585209830207,0.02937592116519413,0.024530914020041195,0.026844332667490273
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x00000275D77FB280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000275B7CE7760>,StandardScaler(),IsolationForest(contamination=0.05),"[1.07791309e+01 2.00958054e+02 1.08655291e+01 1.33573273e+02
 1.41759672e+01 1.06060609e-01 1.02028313e+01 2.44327784e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.865528569938041,7.996787168423447,0.553030303030303,0.6970382260126166,0.08324675821103433,12.901531221840106,9.683685776727023,7.164830305791526,8.549316933793865,0.5799848369977255,0.08274267890399246,-0.13073909338743103,-0.6535127883163029,15.448893416199459,11.525705288094562,8.395344589644164,10.27337958552835,0.5090497737556561,0.0678334925101988,0.07528808570709564,0.07454997476684119,0.07491812123717304
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x00000275D77FB280>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000027586834760>,StandardScaler(),IsolationForest(contamination=0.05),"[1.05233059e+01 2.01394409e+02 1.08623838e+01 1.44198486e+02
 1.41913500e+01 1.43939391e-01 1.01997185e+01 2.23144293e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.86238399526946,8.118548193021628,0.571969696969697,0.8179513230652753,0.39443491330872693,13.034672051351686,9.78741316352167,7.403082025954971,8.643268485803993,0.5905989385898408,0.05224117010943145,-0.13064865741844492,-0.5585491312701498,15.408024436802465,11.544245364186134,8.812222596219534,10.19080591277472,0.5090497737556561,0.02154596836044333,0.03689356923493739,0.03050901882446338,0.03354976301392229
