learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean,num_layers,iteration_number
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.1}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_30_10 at 0x000001F6CE23E820>, 'description': 'Step Decay 30% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7A6855BE0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.38462734e+01  1.85330475e+02  1.03427496e+01  1.22177872e+02
  1.36136131e+01  6.71140924e-02  9.67652130e+00 -1.61123276e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.342749994993545,8.182814362710655,0.5335570469798657,0.7805156371028273,0.22262519836890915,17.15148909218969,12.429473977758127,9.533365220221363,11.844218993071646,0.5584952313670081,0.023513201547964463,0.41230134961729054,0.06531937300776178,17.425682433229042,12.82853036648701,9.908999740527042,11.799702234310931,0.5693538461538461,0.030429955967167775,0.026971578757566117,0.02652813519679432,0.02674893806773831,1,1
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.01}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_30_10 at 0x000001F6CE23E820>, 'description': 'Step Decay 30% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7B9BA7E20>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.36857214e+01  1.85594757e+02  1.03376484e+01  1.24502594e+02
  1.36233168e+01  8.26563016e-02  9.67186546e+00 -3.03947926e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.337648125553022,8.189478982101734,0.5413281525962558,0.7905125035512423,0.18895422907666815,16.395440006391507,12.272281852859768,9.542992638268618,10.900512054148335,0.5613917343694808,0.02252708107432697,0.4267228506594604,0.04527215653547856,16.776905606405784,12.643244359554304,9.957044403319589,11.035187906330314,0.568,0.025728909742613652,0.024127995408470312,0.024021773293376326,0.02407482576730097,1,2
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_30_10 at 0x000001F6CE23E820>, 'description': 'Step Decay 30% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7C217E8B0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.35639763e+01  1.85620789e+02  1.03469915e+01  1.16029007e+02
  1.36242723e+01  7.20593408e-02  9.68096733e+00 -3.18014622e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.346991308973438,8.233081821538374,0.5360296714941717,1.20799184237165,0.4687181456495807,16.950764998974194,12.405839970560756,9.547098321112953,11.613674177796664,0.5575061815612857,0.022106542785536757,0.8852776588040657,0.3654799349880342,17.019745474558583,12.741453953519406,9.917245768507973,11.317725780041997,0.5699692307692308,0.029623103416766747,0.025864823101151752,0.025318727314008704,0.025590318542822676,1,3
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_30_10 at 0x000001F6CE23E820>, 'description': 'Step Decay 30% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7C71DFC70>,StandardScaler(),IsolationForest(contamination=0.05),"[ 5.00991859e+01  1.85795410e+02  1.04058743e+01  1.18110672e+02
  1.36306791e+01  3.88555205e-03  9.73897552e+00 -4.12392616e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.405877575101886,8.332655868749967,0.5019427764040975,0.08562753672906523,-0.34098009278867947,16.2923516429727,12.382196441797532,9.777503000433779,10.588854979004475,0.518191451783822,-0.0014934266335658705,-0.12154855088336891,-0.5297973585998186,16.846879577081992,12.809442799384225,10.14248852143798,10.942125266640671,0.5282461538461538,0.007583681517982177,0.0030451274422081532,-0.0037192768363162824,,1,4
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.1}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_30_10 at 0x000001F6CE23E820>, 'description': 'Step Decay 30% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7CE054E20>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.50620060e+01  1.85896286e+02  1.03503885e+01  1.19499977e+02
  1.36343784e+01  7.24125728e-02  9.68500614e+00 -4.66907024e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.350388810677229,8.2850035184928,0.5362062875309078,1.1401470105909948,0.447491876520127,16.756834688915355,12.336981919783552,9.558996917342533,11.396709639457208,0.5582126457082303,0.020887789295043067,0.8739146236415183,0.35263333452896894,16.786439551931036,12.676082865927164,9.921502843268215,11.038365729214924,0.5678769230769231,0.029206559641328234,0.02504717446818565,0.024356458433906693,0.02469940209440651,1,5
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.01}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_30_10 at 0x000001F6CE23E820>, 'description': 'Step Decay 30% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7D4057F10>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.14034405e+01  1.85951004e+02  1.03355370e+01  1.20179688e+02
  1.36363850e+01  7.94772133e-02  9.67095089e+00 -4.96494770e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.335538301545084,8.227763557408787,0.5397386082656305,1.4736003349236693,0.6865821618219912,17.065642249621995,12.498532398181815,9.558226227636192,11.712766103172152,0.5613917343694808,0.020966729764285624,1.2178509045894537,0.6359028692179702,17.31000570881806,12.875042388632911,9.966201651800535,11.633250618491,0.5678769230769231,0.02483289661864739,0.022899813191466507,0.022736632317229773,0.02281807688363816,1,6
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_30_10 at 0x000001F6CE23E820>, 'description': 'Step Decay 30% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7D59CE5B0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.12699661e+01  1.85855194e+02  1.03500195e+01  1.16021301e+02
  1.36328716e+01  6.74673244e-02  9.68399620e+00 -4.44710255e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.350022350776332,8.206529226849835,0.5337336630166019,0.9284705695815397,0.33630409914286785,16.475314017217674,12.308292009698551,9.545699528211877,10.990844206673268,0.5579300600494524,0.022249818823967787,0.6027837233619343,0.20456474275393077,16.76701547762211,12.66068008865187,9.951277522312513,11.008344557041802,0.5688615384615384,0.026293184161664745,0.024271501492816268,0.024103106438446348,0.02418715741674205,1,7
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_30_10 at 0x000001F6CE23E820>, 'description': 'Step Decay 30% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7DD77B9A0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.10771523e+01  1.85425873e+02  1.03358479e+01  1.23441010e+02
  1.36171169e+01  7.52384290e-02  9.67010307e+00 -2.12681293e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.335844050622752,8.174650381449904,0.5376192158247969,1.1630973395940005,0.4748315501915683,17.060269815291306,12.423388733204007,9.559242372676122,11.749877010641876,0.5584952313670081,0.020862647712052936,0.8844974647082,0.4808749675152755,17.171968750536003,12.808694170675677,9.917997403201008,11.470662651506732,0.5640615384615385,0.029549557902435755,0.025206102807244345,0.024457649057443638,0.024829055893557998,1,8
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_30_10 at 0x000001F6CE23E820>, 'description': 'Step Decay 30% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7DDFE3C40>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.34665823e+01  1.85609619e+02  1.03437586e+01  1.17541756e+02
  1.36238623e+01  7.48851970e-02  9.67777634e+00 -3.11982632e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.343757894004158,8.19091515327633,0.5374425997880607,0.9214150821318522,0.2736737923295456,16.677936847890024,12.31796220506973,9.540688780335586,11.281181698026558,0.560190745319675,0.022763061423883225,0.615796451539795,0.1778795494199299,16.789553293243763,12.65746797898818,9.900127603588178,11.047041926658832,0.5670153846153846,0.03129807166277099,0.027030566543327104,0.026356825579914873,0.026691570349246126,1,9
0.001,128,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.001, 'l1_reg': 0.01}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_30_10 at 0x000001F6CE23E820>, 'description': 'Step Decay 30% every 10 epochs'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7E296ADC0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.14731045e+01  1.85813950e+02  1.03444118e+01  1.16009491e+02
  1.36313591e+01  7.80642852e-02  9.67890930e+00 -4.22418118e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.344413648684531,8.183871043688331,0.5390321441186859,1.2681389320199035,0.5532829599709356,16.98236557266511,12.404477590371945,9.536505322029523,11.667582178881554,0.5582832921229247,0.02319156612430945,0.9670616558338845,0.4742313247962471,17.025929250230966,12.770601625366377,9.90838579158422,11.300851713488631,0.5682461538461538,0.030490029286283096,0.026840797705296272,0.026344654063147968,0.02659156878269814,1,10
