learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001F714CEAA60>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F717AE3880>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.92244530e+00  1.86188889e+02  1.03761435e+01  1.18141273e+02
  1.36451054e+01  5.79300597e-02  9.71067429e+00 -6.25050068e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.376145683064586,8.160819626461414,0.5289650300247263,-0.45573439256865206,-0.7542231939706598,16.465827598307794,12.422930314884923,9.64873542527184,10.816493445989527,0.5386789120452137,0.01169602266473703,-0.9450282095829883,-1.1411776115014653,16.99782037480589,12.825523128324752,10.031583058984602,11.19396240452643,0.5389538461538461,0.01843549471105464,0.015065758687895834,0.01431205480208376,0.014684071777818804
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001F714CEAA60>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7392A2520>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.91884613e+00  1.87272339e+02  1.03733082e+01  1.15844757e+02
  1.36847486e+01  5.89897558e-02  9.70869923e+00 -1.21059418e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],10.373306392526008,8.15358510444736,0.5294948781349347,0.20329324579417765,-0.17513148849773308,16.705783250784314,12.508336988015229,9.632073474054081,11.075220205894729,0.5483927940657012,0.013402678711657536,-0.33663912816035607,-0.6820971997632312,17.247008558983847,12.9339022264752,10.025024309136802,11.41342305018907,0.5522461538461538,0.019077251451921552,0.016239965081789542,0.015744262418292822,0.015990192991693592
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001F714CEAA60>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7087FB1C0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.92417336e+00  1.86845016e+02  1.03597679e+01  1.17390976e+02
  1.36691265e+01  6.07559159e-02  9.69409370e+00 -9.79650021e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.359766755084246,8.178759267458648,0.5303779583186153,1.1720035096799066,0.5530279355409391,16.71274429831506,12.478938484417668,9.562350192180785,11.178553402339816,0.5542211232779937,0.020544318911238892,0.9299923439286555,0.35421449720318776,17.35060821503751,12.930488758257338,9.988983575946609,11.605622664593916,0.5654153846153847,0.022603744153629122,0.021574031532434007,0.021524884108103305,0.021549443809068678
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001F714CEAA60>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F70A578D00>,StandardScaler(),IsolationForest(contamination=0.05),"[9.92202091e+00 1.84844757e+02 1.03262405e+01 1.25106873e+02
 1.35957623e+01 7.45319650e-02 9.65955162e+00 1.01381540e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.32624283505479,8.134647616403388,0.5372659837513246,0.27363539897474853,-0.34629395411623953,18.267198057217136,12.583983319170375,9.564595039244644,13.24398632584199,0.5569410102437301,0.020314382947204723,-0.21298858464204928,-0.6266839993043503,17.851409916443657,12.979868208890219,9.968212062091958,12.256446827092903,0.5655384615384615,0.02463618316160628,0.0224752830544055,0.022267521965835587,0.022371161326635386
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001F714CEAA60>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7172E0C70>,StandardScaler(),IsolationForest(contamination=0.05),"[1.02803621e+01 1.84952011e+02 1.03158131e+01 1.45608078e+02
 1.35997066e+01 9.32532698e-02 9.65102005e+00 4.34160233e-04]",[0. 0. 0. 0. 0. 0. 0. 0.],10.31581178370765,8.05332872711754,0.5466266336983399,0.8361897401986563,0.16453375300704565,16.473110228184982,12.357442289610171,9.504869728499699,10.924780288873814,0.5642529141646061,0.026431947535224334,0.7685822734155299,0.24050568765622415,17.0705874916428,12.857922403126972,10.055151165472074,11.25385400065291,0.563076923076923,0.0161294163334995,0.021280681934361917,0.020033751155899338,0.020647805847131776
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001F714CEAA60>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F710DE9370>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.90725899e+00  1.86001770e+02  1.03632956e+01  1.32076523e+02
  1.36382465e+01  5.89897558e-02  9.69750404e+00 -5.23924828e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.363297623161188,8.101360860900076,0.5294948781349347,-1.370371921823399,-1.2173580447229497,17.674205507848715,12.913489638775166,9.746633706625332,12.144604587241231,0.5411162133521724,0.0016684639669901492,-2.11895625795869,-1.6356098049123657,18.655744949768472,13.543278540106702,10.105616685222248,13.003244853612099,0.5344,0.011191495505204685,0.006429979736097417,0.0029039915759515754,0.004321181202769242
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001F714CEAA60>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F712F35C40>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.91429138e+00  1.86816605e+02  1.03686533e+01  1.13171844e+02
  1.36680870e+01  7.34722689e-02  9.70373535e+00 -9.64295864e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.368653269882714,8.130678143273904,0.5367361356411162,-0.14245320835450231,-0.47994377731014204,16.446866379837132,12.399743064251203,9.635734036037675,10.805584113181682,0.5484987636877429,0.013027733414868433,-0.6651160793610631,-0.8986976529685251,17.012502579177184,12.819131936678552,10.037524520916756,11.203450651962003,0.5481846153846154,0.017854137999174027,0.01544093570702123,0.015063785940106298,0.015251195041881528
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001F714CEAA60>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F716461070>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.89470959e+00  1.85761459e+02  1.03322620e+01  1.28938995e+02
  1.36294336e+01  8.33627731e-02  9.66643238e+00 -3.94046307e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.332260115721354,8.131349679882014,0.541681384669728,0.17305310647907676,-0.37373312083989685,17.354847160247168,12.754069674558624,9.641374957835527,11.77066816410197,0.5548216178028965,0.012449943144647901,-0.22486188819658953,-0.673733369699903,18.200875661014134,13.317794143840088,10.111139822099403,12.407133875494463,0.5596307692307693,0.01065107082002876,0.01155050698233833,0.011480468029822465,0.011515434257507458
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001F714CEAA60>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F7179DC280>,StandardScaler(),IsolationForest(contamination=0.05),"[9.92300892e+00 1.84533081e+02 1.03244562e+01 1.36546295e+02
 1.35842953e+01 8.76015574e-02 9.65765572e+00 2.69824266e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.324456519932077,8.094100998824834,0.5438007771105616,0.061648564872389136,-0.5944853975813693,18.762970368463694,12.668017295090207,9.570802267384376,13.840828252588102,0.5576121511833274,0.019678586857008542,-0.42802406021439493,-0.908788352796293,18.50827517833395,13.143869475126849,10.07011474468755,13.036752160634233,0.5564307692307693,0.014665268736492336,0.01717192779675044,0.016806020152673164,0.016987988833656452
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001F714CEAA60>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001F71A2A14C0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.01802807e+01 1.84050949e+02 1.02919302e+01 1.35502411e+02
 1.35665379e+01 1.07029319e-01 9.62665558e+00 5.30391932e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.291931289289074,8.11564506337583,0.5535146591310491,0.09711871571675534,-0.37746468386676835,17.015014329707814,12.452258519997972,9.453453814521147,11.595513158279942,0.5702578594136347,0.03169839438485375,-0.0047663977737607355,-0.6952542624075164,22.078203555818643,14.169225274370136,10.081277527948407,16.93090184479997,0.5662769230769231,0.013573019211699936,0.022635706798276842,0.019007266695927245,0.020742297750385837
