learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'elu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002470A917D90>,StandardScaler(),IsolationForest(contamination=0.05),"[ 2.06888320e+01  2.57071365e+02  1.29232591e+01  1.57888468e+02
  1.59804427e+01 -4.61538496e-02  1.22456662e+01 -5.14135758e-03]","[4.22088129e+00 1.69240100e+03 1.38030106e+00 5.79861884e+03
 1.69684086e+00 2.27218945e-02 1.36920430e+00 1.16257341e-03]",12.923259901475163,10.74585805338215,0.47692307692307695,0.7910069599739976,-0.15883793261508236,16.055425011412858,12.881298245685473,11.099248596218915,9.571961495042855,0.5230769230769231,-0.03705817561026068,1.7076216956416375,0.46640507626878597,21.891296979730946,16.744387723224456,13.320017497948307,13.951917908712412,0.475,-0.04238792878324031,-0.0397230521967505,-0.03954427521893803,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'elu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",0.9,True,PCA(n_components=0.9),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000246F7739C10>,StandardScaler(),IsolationForest(contamination=0.05),"[ 2.27362951e+01  2.58299856e+02  1.29123061e+01  2.85358902e+02
  1.59993963e+01 -2.56410368e-02  1.22380145e+01 -4.50700521e-03]","[9.52547055e+00 2.33915483e+03 1.68373281e+00 5.57835901e+04
 2.31915613e+00 7.78435197e-03 1.68481110e+00 2.68694586e-05]",12.912306743357485,10.467218985590778,0.4871794871794872,1.0340085836666275,-0.12503443704334502,16.10125541027391,12.893007624903923,10.413932655454577,9.656014254528758,0.517948717948718,0.026974312092357913,1.6836837915600291,0.38182970655330944,21.467552411509068,16.510247537225627,12.740748654915281,13.571498367737481,0.55,0.002944057424050084,0.014959184758203998,0.005308706661343804,0.00891144902774797
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'elu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000246E1F3F610>,StandardScaler(),IsolationForest(contamination=0.05),"[2.40932166e+01 2.55158478e+02 1.27878863e+01 1.64267789e+02
 1.59090548e+01 1.48717944e-01 1.21153256e+01 5.77574968e-03]","[7.46842214e+00 2.04114777e+03 1.65330632e+00 5.45469330e+03
 2.06047197e+00 5.25969923e-03 1.65555970e+00 2.81771181e-04]",12.787886874057158,10.347049491741528,0.5743589743589744,-0.24827929844812946,-0.8421934991168227,16.145951871681795,12.87484690903765,10.530588627902311,9.702453174448479,0.5076923076923077,0.01607456253616712,-0.4296737185225254,-1.0100563940075917,22.474120394924324,16.716148810323592,13.331712891695062,14.787864872249777,0.55,-0.043303178126258286,-0.013614307795045582,0.051128537365567356,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'elu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",0.99,True,PCA(n_components=0.99),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000246CF7E2040>,StandardScaler(),IsolationForest(contamination=0.05),"[ 2.39793975e+01  2.62445826e+02  1.30354036e+01  2.68451164e+02
  1.61302821e+01  3.58974338e-02  1.23548616e+01 -2.14237769e-02]","[1.47138088e+00 2.30249106e+03 1.46197561e+00 2.96479900e+04
 2.25981974e+00 9.04667874e-03 1.47152059e+00 1.47309440e-04]",13.035403978495639,10.890926099874525,0.517948717948718,1.067451870818475,0.17340414226606482,16.148164340950242,12.998661630664053,10.840177528454012,9.595435357565552,0.49230769230769234,-0.012851873124054624,1.9876368676980092,0.44331756867712657,21.219214941265914,16.4886927032584,12.476273098772687,13.24608965659917,0.45,0.023641186930354302,0.005394656903149839,-0.05632119713740631,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'elu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",,False,,3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000246BC3AA580>,StandardScaler(),IsolationForest(contamination=0.05),"[2.36403866e+01 2.55449285e+02 1.28707530e+01 1.72793785e+02
 1.59149675e+01 1.38461525e-01 1.21938022e+01 5.41992982e-03]","[2.10262631e+00 2.17929166e+03 1.98467804e+00 7.90517679e+03
 2.16309373e+00 1.97372982e-16 1.97093537e+00 1.53219941e-04]",12.87075295739641,10.889385358012547,0.5692307692307692,1.1541991548851436,-0.2649462855737797,15.728342921715708,12.3864769583262,9.638040989071566,9.721324634769232,0.6256410256410256,0.09946974176355938,1.5260910817093731,0.8931601717289275,22.05981907014428,16.867793561946517,13.687699379617845,14.043018935912677,0.5,-0.07116170142608177,0.014154020168738804,-0.5001007473439678,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'elu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000246A5CABF70>,StandardScaler(),IsolationForest(contamination=0.05),"[ 2.20755437e+01  2.56888031e+02  1.28763870e+01  1.17631068e+02
  1.59704711e+01 -2.56410325e-02  1.21990267e+01 -3.16383441e-03]","[3.14869332e+00 1.85210960e+03 1.45262583e+00 2.64773506e+02
 1.83209541e+00 3.99736935e-03 1.44367577e+00 6.97863034e-04]",12.87638711675983,10.507674271685923,0.4871794871794872,1.1211226386462279,-0.20504583883004227,16.140291135747045,12.962699673030716,10.85460819135037,9.637150402127334,0.5384615384615384,-0.014200201959687797,1.8999899133469866,0.35750341689964177,21.531227342814258,16.604061339542987,13.0644442293421,13.58426751493056,0.5,-0.022387467811186758,-0.018293834885437277,-0.017377797836031075,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'elu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",0.9,True,PCA(n_components=0.9),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000024694DF39A0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 2.27266299e+01  2.63505864e+02  1.30224438e+01  1.28390203e+02
  1.61702261e+01  5.12820079e-03  1.23433666e+01 -2.77794202e-02]","[1.19235256e+00 2.12264523e+03 1.60981764e+00 4.54823663e+02
 2.02963274e+00 5.89086227e-03 1.60621838e+00 5.73164126e-04]",13.022444115944603,10.638216367043892,0.5025641025641026,-0.09472750693671292,-0.5185528703807147,16.532256537660043,13.160343855950396,10.79350465289905,9.961782945081506,0.5487179487179488,-0.008490993488472674,0.341618129743307,0.3431997785355312,22.172577297950912,16.322735429049988,12.58648977895727,14.781055633255999,0.575,0.015015932722342239,0.0032624696169347824,-0.0390808810316349,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'elu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002471DA8DA90>,StandardScaler(),IsolationForest(contamination=0.05),"[ 2.48613504e+01  2.57494115e+02  1.29086717e+01  1.35438672e+02
  1.59738652e+01  4.61538471e-02  1.22307301e+01 -1.23270353e-03]","[6.10708817e+00 2.34489731e+03 1.83698913e+00 4.32800759e+02
 2.32974568e+00 4.41814499e-03 1.83068588e+00 1.65224665e-05]",12.908672100799793,9.894822187239422,0.5230769230769231,0.7121476961905809,-0.5064975608489014,16.052452630571103,12.887582965975184,10.1729149842586,9.55222886703744,0.5435897435897435,0.049493795660415035,1.0972023748433686,-0.5547626975396938,21.66070114761237,16.67347303620386,11.397108905602478,13.612041231029508,0.45,0.10809360813092717,0.0787937018956711,0.06789835766458653,0.073143440943321
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'elu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",0.99,True,PCA(n_components=0.99),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000246F40888B0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 2.20534782e+01  2.58324254e+02  1.28762992e+01  1.26784447e+02
  1.60038671e+01  2.56410179e-02  1.22015015e+01 -5.85134824e-03]","[2.12833457e+00 2.26568780e+03 1.66923595e+00 1.56117283e+02
 2.20048845e+00 1.59894791e-02 1.68155049e+00 3.97088548e-04]",12.876299273021452,10.12255567626507,0.5128205128205128,1.3273987367157103,0.10501533813000163,16.032842242492194,12.766139154185678,10.167907865978886,9.74724153424534,0.5846153846153846,0.04996163570410898,2.0058240053668936,-1.0861118602980424,21.405811770689972,16.75734375993058,11.880611631894231,13.203275358018844,0.55,0.07025601478707892,0.06010882524559395,0.058395841250812416,0.05924614263236494
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'elu', 'l2_reg': 0.001, 'l1_reg': 0.1}]",,False,,3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,False,,True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000246D1C299A0>,StandardScaler(),IsolationForest(contamination=0.05),"[2.36543948e+01 2.55870234e+02 1.27287728e+01 1.38903198e+02
 1.59111935e+01 4.61538434e-02 1.20493457e+01 8.11670224e-03]","[2.81323482e+00 2.70204753e+03 2.11219952e+00 6.29376992e+02
 2.70416376e+00 6.31163633e-04 2.10968031e+00 1.49560062e-04]",12.728772731238445,9.365263490900569,0.523076923076923,0.6995583290689311,-0.7954925465382754,15.785762898378124,12.496374478882613,10.381455412931029,9.629013156987511,0.5692307692307692,0.030008822905260725,1.4260476176771086,-0.31651354533524545,21.32430104538784,16.347657206979523,13.880268975282,13.517145251198334,0.525,-0.08623166826373073,-0.028111422679235002,0.09205193530325825,
