learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x00000235B4DFBAF0>, 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_2e4 at 0x0000023649EE2C10>, 'description': 'Time-Based Decay 2e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000239A16020D0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.09526157e+00  1.56853978e+02  9.56003475e+00  1.29465841e+02
  1.25161740e+01  4.05259853e-02  8.89726353e+00 -1.86542670e-03]","[6.05698966e-02 1.26122467e+02 5.98494870e-02 3.51503830e+02
 1.99363579e-01 2.05374614e-03 6.08965620e-02 1.52063366e-06]",9.560034342728311,7.622142754299741,0.5202629912050065,0.8070336286343841,-0.36101319689638856,12.481204456473337,9.537243739718306,7.63422174633704,8.088620891167484,0.5327442827442828,0.010159353785872974,-0.7546283533828115,-1.2929150246373773,12.63891657126402,9.707131706766392,7.626822924189991,8.121009563071699,0.5211864406779662,-0.007029477449468825,0.0015649381682020743,-0.045634357823233995,
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x00000235B4DFBAF0>, 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_2e4 at 0x0000023649EE2C10>, 'description': 'Time-Based Decay 2e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000023A55B7C130>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.10430686e+00  1.57340581e+02  9.56599458e+00  1.29714358e+02
  1.25359310e+01  8.42028707e-02  8.90215270e+00 -5.08737564e-03]","[5.84003743e-02 1.21051716e+02 5.82890704e-02 9.55559960e+02
 1.91018852e-01 6.05423425e-05 5.88230585e-02 2.90051378e-06]",9.565995798469375,7.67693044123806,0.5421014348362097,1.1832812930824022,0.07256941832823927,12.477272218685789,9.54433266379878,7.644616382278009,8.120440125169392,0.5514553014553014,0.00881160237140743,-0.30671921154735104,-0.8371087689207302,12.652665129871627,9.70022213179319,7.5135780214582795,8.121375848668217,0.5536723163841808,0.007923138647074824,0.008367370509241127,0.008343785806359166,0.008355569836435716
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x00000235B4DFBAF0>, 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_2e4 at 0x0000023649EE2C10>, 'description': 'Time-Based Decay 2e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000023A3ABE1460>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.13041337e+00  1.57231715e+02  9.58434105e+00  1.31164454e+02
  1.25305866e+01  6.85892863e-02  8.91994127e+00 -4.07824914e-03]","[7.66846400e-02 1.37157473e+02 7.69255269e-02 4.65749882e+02
 2.16117722e-01 1.00068201e-03 7.65937384e-02 1.58986971e-05]",9.584340567572015,7.630825683911694,0.5342946428137499,0.7968421479587419,-0.36004433556927323,12.45883687914754,9.494638624802214,7.580896730192661,8.103262456919897,0.5436590436590436,0.01707338774946028,-0.6900808648976158,-1.3348009343105054,12.650641284977594,9.714631460088642,7.597232741650261,8.124534475460218,0.5310734463276836,-0.0031224526821692486,0.006975467533645516,-0.007642619668843409,
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x00000235B4DFBAF0>, 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_2e4 at 0x0000023649EE2C10>, 'description': 'Time-Based Decay 2e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000023BBA10E910>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.15867964e+00  1.56876521e+02  9.58868281e+00  1.22421059e+02
  1.25163158e+01  8.41931502e-02  8.92332490e+00 -1.78007285e-03]","[7.42378518e-02 1.38513687e+02 7.40699821e-02 8.66275586e+01
 2.18361666e-01 4.41702168e-04 7.45811845e-02 2.25302142e-05]",9.5886830099429,7.641260865066054,0.5420965748287251,0.8190262309725098,-0.29967082151569413,12.40120332594008,9.470125313085244,7.529647270002732,8.045563132380984,0.5769230769230769,0.023718308538781697,-0.5696643239640571,-1.2340721994805266,12.658023075078036,9.75786199634525,7.994553073322207,8.074650330783234,0.5098870056497176,-0.05558378421703547,-0.01593273783912689,0.08274493418043696,
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x00000235B4DFBAF0>, 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_2e4 at 0x0000023649EE2C10>, 'description': 'Time-Based Decay 2e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000023980824FA0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.19285711e+00  1.57135951e+02  9.56278642e+00  1.59210734e+02
  1.25269321e+01  5.19648157e-02  8.89964326e+00 -3.51685286e-03]","[7.04645076e-02 1.34074909e+02 6.97148946e-02 1.17103733e+03
 2.11923176e-01 5.11790277e-04 6.96251515e-02 1.71658135e-05]",9.562786578290284,7.62090441913528,0.5259824100129113,0.7277457308170641,-0.5429745687835071,12.315120765549938,9.290331768162586,7.294238364924285,8.113996625196148,0.579002079002079,0.05424104032073628,-1.1395844825317782,-1.5619414538584793,12.915536328652205,9.879901636765595,7.755694964655113,8.388149154494696,0.5282485875706214,-0.024045467575032408,0.015097786372851937,-0.08638691421767147,
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x00000235B4DFBAF0>, 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_2e4 at 0x0000023649EE2C10>, 'description': 'Time-Based Decay 2e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000023BCECAAB50>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.10705439e+00  1.57021393e+02  9.57091268e+00  1.23021123e+02
  1.25232156e+01  3.11931476e-02  8.90797615e+00 -3.05024783e-03]","[5.52130872e-02 1.20562927e+02 5.41526681e-02 4.25027983e+02
 1.90464028e-01 9.07246916e-04 5.56009495e-02 7.53596532e-07]",9.570912891361864,7.62568674624896,0.5155965740187239,0.8379579112157782,-0.2558871486581543,12.486355005891394,9.546802595649845,7.71083171657543,8.088434007525986,0.5436590436590436,0.00022623093892433897,-0.6803664424412951,-1.2184137414532856,12.651987195456545,9.719872014857538,7.581694154028337,8.119531510216287,0.5141242937853108,-0.0010707706215331509,-0.00042226984130440593,0.0005736650345043602,
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x00000235B4DFBAF0>, 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_2e4 at 0x0000023649EE2C10>, 'description': 'Time-Based Decay 2e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000023BA6390BB0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.10615349e+00  1.57238113e+02  9.56676165e+00  1.25263451e+02
  1.25311337e+01  6.96568663e-02  8.90432294e+00 -4.20900186e-03]","[6.88759663e-02 1.32578732e+02 6.82099681e-02 4.70906251e+02
 2.08795438e-01 4.29914490e-04 6.91887082e-02 7.75332202e-06]",9.566762734300966,7.626534356578246,0.5348284336357878,1.0350688117132076,-0.08063770111215143,12.473019641432067,9.505320264396106,7.420782612921671,8.139413109483984,0.5498960498960499,0.03783352107720454,-0.6711065265582898,-1.1811939683318706,12.710561592500504,9.721458617062217,7.544070066072586,8.207860039880812,0.5296610169491526,0.0038970339296151217,0.020865277503409833,0.007066213966748362,0.012142426253211297
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x00000235B4DFBAF0>, 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_2e4 at 0x0000023649EE2C10>, 'description': 'Time-Based Decay 2e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000023B603D7250>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.13247490e+00  1.57432220e+02  9.58666865e+00  1.30620313e+02
  1.25388498e+01  5.71553083e-02  8.92259312e+00 -5.44265906e-03]","[7.15133033e-02 1.32909982e+02 7.09973357e-02 4.69552384e+02
 2.09464782e-01 1.40901914e-03 7.15297694e-02 9.78768867e-06]",9.586668374576847,7.721728098580178,0.5285776540095871,0.8503393571023438,-0.18628124638859522,12.481529104509832,9.542834502406848,7.587885002912623,8.086963300925106,0.5317047817047817,0.01616729979250951,-0.6527007177623584,-1.316351456481342,12.635351244588701,9.707973873266505,7.585396009524752,8.105594537447937,0.5324858757062146,-0.0015595557478173974,0.007303872022346056,-0.003452114883852574,
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x00000235B4DFBAF0>, 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_2e4 at 0x0000023649EE2C10>, 'description': 'Time-Based Decay 2e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000023B4BF6EAF0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.15413729e+00  1.56968058e+02  9.58287907e+00  1.42617457e+02
  1.25202147e+01  5.82277471e-02  8.91962973e+00 -2.43620078e-03]","[6.14089958e-02 1.34362056e+02 6.11688561e-02 1.08449299e+03
 2.12287387e-01 8.71096815e-04 6.20763767e-02 1.25527538e-05]",9.582879359886581,7.81828483369842,0.5291138748353673,0.8318033937557447,-0.3791196264370926,12.383611614648254,9.454158121747973,7.62476513177055,8.038563769969196,0.5717255717255717,0.011385482890386335,-0.6120630203346988,-1.2745318692171006,12.653103085265798,9.76937162230521,7.724296134196482,8.056087946351385,0.5056497175141242,-0.01989963278332747,-0.004257074946470567,0.05322126845978758,
0.001,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function gelu at 0x00000235B4DFBAF0>, 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_2e4 at 0x0000023649EE2C10>, 'description': 'Time-Based Decay 2e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000023B30DD3700>,StandardScaler(),IsolationForest(contamination=0.05),"[9.16666540e+00 1.56503799e+02 9.53809579e+00 1.53268784e+02
 1.25030635e+01 5.09393526e-02 8.87593110e+00 7.57773717e-05]","[6.69102384e-02 1.11142100e+02 6.86856158e-02 1.62936899e+03
 1.77204721e-01 8.52436057e-05 6.75185470e-02 4.79426038e-05]",9.53809584723063,7.543066811166561,0.5254696792233059,0.8429003470300913,-0.43534468535460213,12.355070472380884,9.32189563793819,7.263758866398732,8.149582193054624,0.5717255717255717,0.058192962012202955,-1.1004375502107955,-1.8073987310242217,12.881898716122853,9.870981406644303,7.973741865547199,8.341576572254965,0.5536723163841808,-0.052835916605701826,0.0026785227032505646,-1.1479008500410333,
