learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001D749EA5AF0>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D706D08AF0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.20180626e+01 2.54560440e+02 1.24639339e+01 1.28466064e+02
 1.59549503e+01 1.00817442e-01 1.17856436e+01 4.51233387e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.463933361434583,9.85898720658113,0.5504087193460491,-0.40551511326313777,-1.2397851423432988,13.885801931714264,10.75965580625459,8.740963776579695,8.783312141984098,0.5592572364827962,0.05002777061964335,-1.5038135977959153,-1.250233114621981,14.979558989623305,11.374928678123242,8.542982849428942,9.849309405197019,0.5669291338582677,0.06259718853295883,0.05631247957630109,0.05561107969181587,0.05596068074426394
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001D749EA5AF0>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D705ECD8B0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19276524e+01 2.53060120e+02 1.23947239e+01 1.27386635e+02
 1.59078636e+01 1.38964579e-01 1.17192593e+01 5.07511497e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.394724711313993,9.68142735940253,0.5694822888283378,0.2953546016606521,-0.6148227018012431,13.90316512051473,10.721840960316298,8.596971873703854,8.852377663068225,0.57400327689787,0.06567688123078555,-0.9673589499634009,-0.7130445658461106,14.985241163445627,11.255175634448838,8.09663124248159,9.92805334950638,0.610236220472441,0.11157437350802257,0.08862562736940406,0.08268327226324917,0.08560290227139325
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001D749EA5AF0>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D7040585B0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19582338e+01 2.52517120e+02 1.23843555e+01 1.35838898e+02
 1.58907871e+01 1.82561308e-01 1.17114697e+01 5.27879596e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.384355270648646,9.576146503126804,0.5912806539509536,0.2233367635925171,-0.8142044734311416,13.873085714250589,10.722186532278664,8.586301347143031,8.802517095059274,0.5838339705079192,0.06683655928972076,-1.2148618421099113,-0.9560845163461511,15.004033360248314,11.255170528760118,8.186492376746425,9.983541158930489,0.5984251968503937,0.10171410790920961,0.08427533359946518,0.08066679434560062,0.08245132505833332
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001D749EA5AF0>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D704D8AA90>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19481783e+01 2.53263779e+02 1.24109974e+01 1.32221756e+02
 1.59142637e+01 1.82561308e-01 1.17336569e+01 4.99871969e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.410997266914224,9.819827052817734,0.5912806539509536,0.25619910863940193,-0.6676216278934217,13.859313624622603,10.724090944834721,8.642782572381506,8.779366521888795,0.5805570726379028,0.06069815203516935,-0.8989781227225595,-0.7772471544670437,14.933759407475925,11.245045899323568,8.53575517079129,9.855275646345971,0.6062992125984252,0.06339026589185431,0.06204420896351183,0.062015006088906664,0.06202960580765916
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001D749EA5AF0>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D706751310>,StandardScaler(),IsolationForest(contamination=0.05),"[1.18344593e+01 2.50460739e+02 1.22410526e+01 1.30880783e+02
 1.58259516e+01 2.47956410e-01 1.15749149e+01 6.05015755e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.241051234682834,9.824908597380173,0.6239782016348774,0.26964484584017173,-0.6273422534035076,13.77788108628552,10.644851945826172,8.587075004016526,8.748026220284418,0.5953031130529766,0.0667524778813458,-0.5273641482916248,-0.5514691815538373,15.05618858610953,11.241054277745057,8.275601091560103,10.017831183473882,0.6003937007874016,0.0919364036500772,0.07934444076571151,0.07734609623456239,0.07833889679553994
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001D749EA5AF0>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D7074C34C0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.17740479e+01 2.50588913e+02 1.22219934e+01 1.32266479e+02
 1.58300009e+01 2.58855581e-01 1.15573168e+01 6.00208044e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.221994162433575,9.966632088266355,0.6294277929155313,0.6425182016680246,-0.2773098650888557,13.783925322354484,10.641398782598925,8.64916793582794,8.781139165011353,0.5953031130529766,0.060004187604740605,-0.16053260583068604,-0.34307925865401634,15.023368906649848,11.237573879137303,8.314853103877336,9.959683184548428,0.6062992125984252,0.0876293662428357,0.07381677692378816,0.07123216632918518,0.07251295699197238
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001D749EA5AF0>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D7419A4A60>,StandardScaler(),IsolationForest(contamination=0.05),"[1.20460434e+01 2.56018982e+02 1.24173918e+01 1.34403442e+02
 1.60005932e+01 1.82561308e-01 1.17485085e+01 3.96522284e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.417390052719961,10.221568940880235,0.5912806539509536,-0.0898407513038213,-0.7522213335222698,13.716899460446493,10.558065157968976,8.49923105308169,8.753727927788523,0.6051338066630256,0.07629940154332651,-0.8393122430587461,-1.3374508994953187,14.680426664861313,11.160582330967253,8.560065820766203,9.561196884666272,0.6023622047244095,0.060722711474769445,0.06851105650904799,0.06762567652129432,0.0680669269587881
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001D749EA5AF0>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D70A5B49A0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19494915e+01 2.54766861e+02 1.23806581e+01 1.34585281e+02
 1.59614182e+01 1.82561308e-01 1.17070789e+01 4.43490148e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.380658363148164,10.236712261135729,0.5912806539509536,0.3684011869759633,-0.4437005385557491,13.678555639550787,10.506007478081887,8.500969605771617,8.763684726947416,0.6078645548880394,0.0761104547844839,-0.3792418282025894,-0.7917823090500709,14.651981414034472,11.081189302770284,8.224826414048021,9.580694977357282,0.610236220472441,0.0975077978914153,0.0868091263379496,0.08549058325570114,0.08614733218474707
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001D749EA5AF0>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D70B39A700>,StandardScaler(),IsolationForest(contamination=0.05),"[1.21229191e+01 2.49715195e+02 1.22771425e+01 1.59189560e+02
 1.58023796e+01 1.77111715e-01 1.16042604e+01 6.32982254e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.277142614209366,10.087797149347125,0.5885558583106267,0.5101898804106134,-0.32841417621941477,13.651832414662728,10.33756750527309,8.112972594507156,8.928004590230854,0.6346258874931732,0.11827816022348785,0.12491633161460515,-0.13239208800334712,15.830685797287757,11.634840177804714,8.402759914675805,10.723326942634753,0.6161417322834646,0.07798354428088548,0.09813085225218666,0.09399439558056522,0.09604035685715684
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001D749EA5AF0>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D70CB82D30>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19501677e+01 2.49498550e+02 1.22893095e+01 1.56682449e+02
 1.57955227e+01 1.88010901e-01 1.16166916e+01 6.41108751e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.289309439782572,10.25501345031148,0.5940054495912807,-0.08385742696739457,-0.875306665500238,13.712958995555857,10.425984090099956,8.340543013186146,8.904590756745737,0.6258874931731294,0.09354569553203777,-1.105529236851778,-1.6246239737860197,15.197759681982971,11.309608993906757,8.339304555788694,10.19985130946457,0.6220472440944882,0.08494636193741449,0.08924602873472613,0.08903888075481035,0.08914239457380342
