learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001CD6F848160>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001CDCA630A60>,StandardScaler(),IsolationForest(contamination=0.05),"[1.16106234e+01 2.39649719e+02 1.20508137e+01 1.13030510e+02
 1.54806242e+01 1.08614229e-01 1.13806486e+01 9.70989466e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],12.05081398684477,9.882940988336546,0.5543071161048689,0.5597287338380859,-0.7263514804513489,13.36939986767947,10.33026198713187,8.173545286679865,8.50058560992221,0.5746436609152288,0.04369991176703258,-0.2400702677480569,-0.577317481691044,15.01023974693094,11.78504044068246,9.303388709010912,9.27817158586736,0.5028248587570622,0.04552606327973064,0.04461298752338161,0.04459429997558187,0.04460364277079363
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001CD6F848160>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001CD84645AC0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.15448093e+01 2.40095856e+02 1.20054178e+01 1.15673935e+02
 1.54950266e+01 1.23595506e-01 1.13365526e+01 7.86638260e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],12.00541628541215,9.739103658069364,0.5617977528089888,0.8262941754039198,-0.4409311842089406,13.350092111138693,10.28236376800102,8.159011877613754,8.549962265338083,0.5723930982745686,0.045400312252351624,-0.009159732881292548,-0.40394063960518134,15.049282187486462,11.779705142339653,9.553930670265974,9.34486133235769,0.5169491525423728,0.019821905412918322,0.032611108832634975,0.02759552580078146,0.029998678223932977
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001CD6F848160>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001CD95A52430>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.17071161e+01  2.41166931e+02  1.21681480e+01  1.11718147e+02
  1.55295506e+01 -3.37078571e-02  1.14905596e+01  3.44043970e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],12.168148763419792,9.996070458211728,0.48314606741573035,0.13735736275405158,-1.022884175548114,13.448720291979564,10.439750457149922,8.349617051812215,8.474476147737448,0.5281320330082521,0.023099616714431594,-0.6831181166760348,-0.9164016048117903,15.026888663711569,11.878190725077031,9.666443790381237,9.20783622431557,0.5141242937853108,0.008278709267079416,0.015689162990755505,0.012188987460480106,0.01382877474542656
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001CD6F848160>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001CDC750BDC0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.16045713e+01 2.40239029e+02 1.20666065e+01 1.19807983e+02
 1.54996462e+01 1.23595506e-01 1.13945065e+01 7.27474689e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],12.066606197937038,9.68856667495269,0.5617977528089888,0.7195236886941425,-0.5871917764438382,13.3676278315735,10.323423307000647,8.299625019136192,8.51812762698244,0.5678919729932483,0.028948655727763596,-0.16096978675877047,-0.5660047163290606,15.033731986666353,11.781267463024879,9.486402611057786,9.319207202026835,0.5056497175141242,0.026749894184266883,0.02784927495601524,0.02780587569038987,0.027827566862635468
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001CD6F848160>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001CD84CA7CD0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.16806087e+01 2.38762955e+02 1.21171513e+01 1.15490662e+02
 1.54519567e+01 7.86516890e-02 1.14430132e+01 1.33742690e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.117151237908766,9.866578582449844,0.5393258426966292,0.10162641496534737,-0.949174183380688,13.408428738691102,10.404317331214687,8.315233379354964,8.453709786885428,0.5521380345086272,0.027122486577063613,-0.8314315336918892,-0.8842573116560892,14.997520497015465,11.866527761822564,9.693015433029196,9.187244894347527,0.4943502824858757,0.005552612233344112,0.016337549405203863,0.009218068575116003,0.012271945679741044
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001CD6F848160>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001CD86882520>,StandardScaler(),IsolationForest(contamination=0.05),"[1.16570759e+01 2.41626175e+02 1.21093273e+01 1.04477768e+02
 1.55443296e+01 1.31086141e-01 1.14384298e+01 1.54274702e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],12.109327100661305,10.083001654960176,0.5655430711610487,0.6555670232740951,-0.4353298258496023,13.437141561889865,10.406626245684718,8.371614146438084,8.521014587510615,0.5776444111027756,0.020525969319846463,-0.0628703216813566,-0.331370042722165,15.033291775966376,11.853201580733517,9.592227848906436,9.225368575443808,0.5056497175141242,0.01589283612369932,0.01820940272177289,0.017914693395755653,0.018061446970838183
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001CD6F848160>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001CDCA6E58E0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.16535435e+01 2.37079163e+02 1.20370731e+01 1.27662071e+02
 1.53973751e+01 1.46067411e-01 1.13669767e+01 2.03320980e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.037073466107385,9.726989255230809,0.5730337078651685,0.8070748267060639,-0.3890215018039367,13.104041204630002,10.119398583329994,8.010578355270383,8.359943088758127,0.5986496624156039,0.06276694882620432,-0.44730321211062873,-1.0016424411422622,14.963053414086469,11.677293190850142,9.57100063038848,9.346023301506888,0.53954802259887,0.018070626115944878,0.040418787471074594,0.028062149699287553,0.03367845104331527
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001CD6F848160>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001CD8763A910>,StandardScaler(),IsolationForest(contamination=0.05),"[1.16067772e+01 2.37726303e+02 1.20426807e+01 1.16473007e+02
 1.54183760e+01 1.46067411e-01 1.13731489e+01 1.76579356e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.042679536037095,9.966094356996756,0.5730337078651685,0.6515969832644901,-0.44916264474860346,13.125111158804232,10.129078147519012,8.019386580913482,8.367687285024525,0.6001500375093773,0.0617363915020284,-0.2130322776736821,-0.48131535657990177,14.865448669081964,11.643646279633074,9.43138560793147,9.223259349417155,0.5621468926553672,0.03239432087684022,0.04706535618943431,0.042492156397275896,0.04472033626992243
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001CD6F848160>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001CD88AA8FA0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.20558405e+01 2.41804703e+02 1.21342545e+01 1.21385971e+02
 1.55500708e+01 4.86891381e-02 1.14592447e+01 8.05020332e-04]",[0. 0. 0. 0. 0. 0. 0. 0.],12.134254517305056,9.659457018792285,0.5243445692883895,0.18136952198538173,-0.7912874568651631,13.11919719870707,10.045244647606344,8.130086978472745,8.435849616173515,0.5776444111027756,0.04878450878280387,-0.7476201272485493,-1.6066648523068419,15.219102296729229,11.9783407490543,10.129292805460164,9.39651457209283,0.5084745762711864,-0.039206925843661866,0.004788791469571001,-0.39940987832118086,
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001CD6F848160>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001CD89D342E0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.17334480e+01  2.42174896e+02  1.20771456e+01  1.17067024e+02
  1.55619698e+01  6.36704117e-02  1.14141121e+01 -7.24673271e-04]",[0. 0. 0. 0. 0. 0. 0. 0.],12.077147382481284,9.42544322663293,0.5318352059925093,0.6083957017955912,-0.3638538265905085,13.0765224868471,9.949524898008919,7.854997487698361,8.502852390015407,0.5971492873218305,0.08096982067288643,-0.4485625026306851,-1.2107254345460494,15.227911559900498,11.948734292424467,9.753172594552016,9.429441321192627,0.5141242937853108,-0.0006191650164863731,0.040175327828200026,-0.0012478723401140829,
