learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,avg_accuracy,avg_precision,avg_recall,avg_f1_score,avg_TP_accuracy,avg_TN_accuracy,avg_TP_TN_accuracy,confusion_matrix,validation_training_success,validation_training_improvement,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.0001,32,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.losses.BinaryCrossentropy'>, {'reduction': 'auto'})",<class 'keras.losses.BinaryCrossentropy'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.AUC'>, {}), (<class 'keras.metrics.metrics.BinaryAccuracy'>, {}), (<class 'keras.metrics.metrics.Precision'>, {}), (<class 'keras.metrics.metrics.Recall'>, {}), (<class 'keras.metrics.metrics.TruePositives'>, {}), (<class 'keras.metrics.metrics.FalsePositives'>, {}), (<class 'keras.metrics.metrics.TrueNegatives'>, {}), (<class 'keras.metrics.metrics.FalseNegatives'>, {}), (<class 'keras.metrics.metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",True,False,,False,,val_loss,<keras.engine.sequential.Sequential object at 0x000001C3D968E820>,StandardScaler(),IsolationForest(contamination=0.05),"[ 0.51098365  0.8669312   0.79844964  0.83720928  0.85714287 72.
 14.         31.         12.          0.41281098  0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.7984496124031008,0.7209302325581395,0.6888888888888889,0.7045454545454545,0.7209302325581395,0.8372093023255814,0.7790697674418605,"[[31 14]
 [12 72]]",0.8356589147286821,0.027829313543599174,0.7295597484276729,0.0,0.013914656771799587,0.0,0.0
0.0001,32,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.losses.BinaryCrossentropy'>, {'reduction': 'auto'})",<class 'keras.losses.BinaryCrossentropy'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.AUC'>, {}), (<class 'keras.metrics.metrics.BinaryAccuracy'>, {}), (<class 'keras.metrics.metrics.Precision'>, {}), (<class 'keras.metrics.metrics.Recall'>, {}), (<class 'keras.metrics.metrics.TruePositives'>, {}), (<class 'keras.metrics.metrics.FalsePositives'>, {}), (<class 'keras.metrics.metrics.TrueNegatives'>, {}), (<class 'keras.metrics.metrics.FalseNegatives'>, {}), (<class 'keras.metrics.metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",True,False,,False,,val_loss,<keras.engine.sequential.Sequential object at 0x000001C3C7388BB0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 0.44447911  0.8661375   0.78294575  0.81818181  0.85714287 72.
 16.         29.         12.          0.42800945  0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.7829457364341085,0.7073170731707317,0.6444444444444445,0.6744186046511628,0.7073170731707317,0.8181818181818182,0.7627494456762749,"[[29 16]
 [12 72]]",0.8031007751937984,-0.011583011583011686,0.7169811320754716,-0.017543859649122803,-0.014563435616067245,-0.013953488372093096,
0.0001,32,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.losses.BinaryCrossentropy'>, {'reduction': 'auto'})",<class 'keras.losses.BinaryCrossentropy'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.AUC'>, {}), (<class 'keras.metrics.metrics.BinaryAccuracy'>, {}), (<class 'keras.metrics.metrics.Precision'>, {}), (<class 'keras.metrics.metrics.Recall'>, {}), (<class 'keras.metrics.metrics.TruePositives'>, {}), (<class 'keras.metrics.metrics.FalsePositives'>, {}), (<class 'keras.metrics.metrics.TrueNegatives'>, {}), (<class 'keras.metrics.metrics.FalseNegatives'>, {}), (<class 'keras.metrics.metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",True,False,,False,,val_loss,<keras.engine.sequential.Sequential object at 0x000001C3AC2D4850>,StandardScaler(),IsolationForest(contamination=0.05),"[ 0.44533497  0.86798936  0.80620158  0.83908045  0.86904764 73.
 14.         31.         11.          0.42232978  0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.8062015503875969,0.7380952380952381,0.6888888888888889,0.7126436781609196,0.7380952380952381,0.8390804597701149,0.7885878489326765,"[[31 14]
 [11 73]]",0.8077519379844961,-0.0057581573896354375,0.7232704402515723,-0.008695652173913042,-0.00722690478177424,-0.006928406466512789,
0.0001,32,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.losses.BinaryCrossentropy'>, {'reduction': 'auto'})",<class 'keras.losses.BinaryCrossentropy'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.AUC'>, {}), (<class 'keras.metrics.metrics.BinaryAccuracy'>, {}), (<class 'keras.metrics.metrics.Precision'>, {}), (<class 'keras.metrics.metrics.Recall'>, {}), (<class 'keras.metrics.metrics.TruePositives'>, {}), (<class 'keras.metrics.metrics.FalsePositives'>, {}), (<class 'keras.metrics.metrics.TrueNegatives'>, {}), (<class 'keras.metrics.metrics.FalseNegatives'>, {}), (<class 'keras.metrics.metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",True,False,,False,,val_loss,<keras.engine.sequential.Sequential object at 0x000001C3B135C4F0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 0.46409661  0.86203706  0.79844964  0.83720928  0.85714287 72.
 14.         31.         12.          0.43508878  0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.7984496124031008,0.7209302325581395,0.6888888888888889,0.7045454545454545,0.7209302325581395,0.8372093023255814,0.7790697674418605,"[[31 14]
 [12 72]]",0.8077519379844961,-0.0057581573896354375,0.7295597484276729,0.0,-0.0028790786948177187,0.0,-0.0
0.0001,32,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.losses.BinaryCrossentropy'>, {'reduction': 'auto'})",<class 'keras.losses.BinaryCrossentropy'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.AUC'>, {}), (<class 'keras.metrics.metrics.BinaryAccuracy'>, {}), (<class 'keras.metrics.metrics.Precision'>, {}), (<class 'keras.metrics.metrics.Recall'>, {}), (<class 'keras.metrics.metrics.TruePositives'>, {}), (<class 'keras.metrics.metrics.FalsePositives'>, {}), (<class 'keras.metrics.metrics.TrueNegatives'>, {}), (<class 'keras.metrics.metrics.FalseNegatives'>, {}), (<class 'keras.metrics.metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",True,False,,False,,val_loss,<keras.engine.sequential.Sequential object at 0x000001C3B55C1B80>,StandardScaler(),IsolationForest(contamination=0.05),"[ 0.47428444  0.86097884  0.81395346  0.83333331  0.89285713 75.
 15.         30.          9.          0.43523929  0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.813953488372093,0.7692307692307693,0.6666666666666666,0.7142857142857142,0.7692307692307693,0.8333333333333334,0.8012820512820513,"[[30 15]
 [ 9 75]]",0.8,-0.015503875968992248,0.7358490566037735,0.008547008547008546,-0.003478433710991851,0.03809523809523809,
0.0001,32,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.losses.BinaryCrossentropy'>, {'reduction': 'auto'})",<class 'keras.losses.BinaryCrossentropy'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.AUC'>, {}), (<class 'keras.metrics.metrics.BinaryAccuracy'>, {}), (<class 'keras.metrics.metrics.Precision'>, {}), (<class 'keras.metrics.metrics.Recall'>, {}), (<class 'keras.metrics.metrics.TruePositives'>, {}), (<class 'keras.metrics.metrics.FalsePositives'>, {}), (<class 'keras.metrics.metrics.TrueNegatives'>, {}), (<class 'keras.metrics.metrics.FalseNegatives'>, {}), (<class 'keras.metrics.metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",True,False,,False,,val_loss,<keras.engine.sequential.Sequential object at 0x000001C3B9071AC0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 0.5335328   0.85740739  0.80620158  0.83908045  0.86904764 73.
 14.         31.         11.          0.43696323  0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.8062015503875969,0.7380952380952381,0.6888888888888889,0.7126436781609196,0.7380952380952381,0.8390804597701149,0.7885878489326765,"[[31 14]
 [11 73]]",0.8310077519379845,0.02238805970149247,0.7484276729559748,0.025210084033613443,0.023799071867552958,0.023715415019762803,0.023757206620816762
0.0001,32,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.losses.BinaryCrossentropy'>, {'reduction': 'auto'})",<class 'keras.losses.BinaryCrossentropy'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.AUC'>, {}), (<class 'keras.metrics.metrics.BinaryAccuracy'>, {}), (<class 'keras.metrics.metrics.Precision'>, {}), (<class 'keras.metrics.metrics.Recall'>, {}), (<class 'keras.metrics.metrics.TruePositives'>, {}), (<class 'keras.metrics.metrics.FalsePositives'>, {}), (<class 'keras.metrics.metrics.TrueNegatives'>, {}), (<class 'keras.metrics.metrics.FalseNegatives'>, {}), (<class 'keras.metrics.metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",True,False,,False,,val_loss,<keras.engine.sequential.Sequential object at 0x000001C3BC166430>,StandardScaler(),IsolationForest(contamination=0.05),"[ 0.44271019  0.86507934  0.79069769  0.8202247   0.86904764 73.
 16.         29.         11.          0.42586625  0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.7906976744186046,0.725,0.6444444444444445,0.6823529411764706,0.725,0.8202247191011236,0.7726123595505618,"[[29 16]
 [11 73]]",0.8046511627906977,-0.00963391136801543,0.7169811320754716,-0.017543859649122803,-0.013588885508569116,-0.012437810945273646,
0.0001,32,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.losses.BinaryCrossentropy'>, {'reduction': 'auto'})",<class 'keras.losses.BinaryCrossentropy'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.AUC'>, {}), (<class 'keras.metrics.metrics.BinaryAccuracy'>, {}), (<class 'keras.metrics.metrics.Precision'>, {}), (<class 'keras.metrics.metrics.Recall'>, {}), (<class 'keras.metrics.metrics.TruePositives'>, {}), (<class 'keras.metrics.metrics.FalsePositives'>, {}), (<class 'keras.metrics.metrics.TrueNegatives'>, {}), (<class 'keras.metrics.metrics.FalseNegatives'>, {}), (<class 'keras.metrics.metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",True,False,,False,,val_loss,<keras.engine.sequential.Sequential object at 0x000001C3BF24A280>,StandardScaler(),IsolationForest(contamination=0.05),"[ 0.4504694   0.86772484  0.79069769  0.81318682  0.88095236 74.
 17.         28.         10.          0.42713815  0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.7906976744186046,0.7368421052631579,0.6222222222222222,0.6746987951807228,0.7368421052631579,0.8131868131868132,0.7750144592249855,"[[28 17]
 [10 74]]",0.8062015503875969,-0.007692307692307761,0.7232704402515723,-0.008695652173913042,-0.008193979933110402,-0.008163265306122486,
0.0001,32,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.losses.BinaryCrossentropy'>, {'reduction': 'auto'})",<class 'keras.losses.BinaryCrossentropy'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.AUC'>, {}), (<class 'keras.metrics.metrics.BinaryAccuracy'>, {}), (<class 'keras.metrics.metrics.Precision'>, {}), (<class 'keras.metrics.metrics.Recall'>, {}), (<class 'keras.metrics.metrics.TruePositives'>, {}), (<class 'keras.metrics.metrics.FalsePositives'>, {}), (<class 'keras.metrics.metrics.TrueNegatives'>, {}), (<class 'keras.metrics.metrics.FalseNegatives'>, {}), (<class 'keras.metrics.metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",True,False,,False,,val_loss,<keras.engine.sequential.Sequential object at 0x000001C3C11E9460>,StandardScaler(),IsolationForest(contamination=0.05),"[ 0.47393808  0.84894174  0.79844964  0.83720928  0.85714287 72.
 14.         31.         12.          0.44483542  0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.7984496124031008,0.7209302325581395,0.6888888888888889,0.7045454545454545,0.7209302325581395,0.8372093023255814,0.7790697674418605,"[[31 14]
 [12 72]]",0.8015503875968992,-0.01353965183752423,0.7044025157232704,-0.035714285714285705,-0.024626968775904968,-0.01963534361851338,
0.0001,32,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.losses.BinaryCrossentropy'>, {'reduction': 'auto'})",<class 'keras.losses.BinaryCrossentropy'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.AUC'>, {}), (<class 'keras.metrics.metrics.BinaryAccuracy'>, {}), (<class 'keras.metrics.metrics.Precision'>, {}), (<class 'keras.metrics.metrics.Recall'>, {}), (<class 'keras.metrics.metrics.TruePositives'>, {}), (<class 'keras.metrics.metrics.FalsePositives'>, {}), (<class 'keras.metrics.metrics.TrueNegatives'>, {}), (<class 'keras.metrics.metrics.FalseNegatives'>, {}), (<class 'keras.metrics.metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",True,False,,False,,val_loss,<keras.engine.sequential.Sequential object at 0x000001C3C3732F10>,StandardScaler(),IsolationForest(contamination=0.05),"[ 0.47448504  0.86362427  0.80620158  0.82417583  0.89285713 75.
 16.         29.          9.          0.43482199  0.        ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.8062015503875969,0.7631578947368421,0.6444444444444445,0.6987951807228916,0.7631578947368421,0.8241758241758241,0.7936668594563332,"[[29 16]
 [ 9 75]]",0.8093023255813954,-0.003831417624521107,0.7358490566037735,0.008547008547008546,0.0023577954612437196,-0.013888888888889115,
