learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,avg_accuracy,avg_precision,avg_recall,avg_f1_score,avg_TP_accuracy,avg_TN_accuracy,avg_TP_TN_accuracy,confusion_matrix,validation_training_success,validation_training_improvement,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean,num_layers,iteration_number
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.src.losses.Poisson'>, {'reduction': 'auto'})",<class 'keras.src.losses.Poisson'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.confusion_metrics.AUC'>, {}), (<class 'keras.src.metrics.accuracy_metrics.BinaryAccuracy'>, {}), (<class 'keras.src.metrics.confusion_metrics.Precision'>, {}), (<class 'keras.src.metrics.confusion_metrics.Recall'>, {}), (<class 'keras.src.metrics.confusion_metrics.TruePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalsePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.TrueNegatives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalseNegatives'>, {}), (<class 'keras.src.metrics.probabilistic_metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",False,True,"{'method': <function step_decay_70_10 at 0x000001381AE25280>, 'description': 'Step Decay 70% every 10 epochs'}",False,,val_loss,<keras.src.engine.sequential.Sequential object at 0x0000013807A79460>,StandardScaler(),IsolationForest(contamination=0.05),"[  2.4711283    0.8544143    0.80775195   0.8342876    0.86690567
 117.33333333  23.33333333  56.33333333  18.           0.46323153
   0.        ]","[9.42250724e-04 6.07056930e-04 4.37473498e-04 1.98949255e-04
 4.52278175e-04 1.75555556e+01 5.55555556e+00 2.48888889e+01
 8.00000000e+00 5.98185252e-04 0.00000000e+00]",0.8077519379844961,0.7576493661889468,0.7058629253857536,0.7305671445798834,0.7576493661889468,0.8342876124206047,0.7959684893047758,"[[ 55  25]
 [ 22 113]]",0.8496124031007752,0.0437956204379562,0.7421383647798742,0.016949152542372878,0.03037238649016454,0.024439918533604884,0.0272451583128229,1,-1
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.src.losses.Poisson'>, {'reduction': 'auto'})",<class 'keras.src.losses.Poisson'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.confusion_metrics.AUC'>, {}), (<class 'keras.src.metrics.accuracy_metrics.BinaryAccuracy'>, {}), (<class 'keras.src.metrics.confusion_metrics.Precision'>, {}), (<class 'keras.src.metrics.confusion_metrics.Recall'>, {}), (<class 'keras.src.metrics.confusion_metrics.TruePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalsePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.TrueNegatives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalseNegatives'>, {}), (<class 'keras.src.metrics.probabilistic_metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",False,True,"{'method': <function step_decay_70_10 at 0x000001381AE25280>, 'description': 'Step Decay 70% every 10 epochs'}",False,,val_loss,<keras.src.engine.sequential.Sequential object at 0x000001380B3F4790>,StandardScaler(),IsolationForest(contamination=0.05),"[  2.4699382    0.86125592   0.80155039   0.8314394    0.85948696
 116.33333333  23.66666667  56.          19.           0.44607737
   0.        ]","[6.71851117e-04 5.70528516e-04 9.13402712e-05 2.17611986e-04
 6.24015561e-05 1.08888889e+01 8.22222222e+00 2.46666667e+01
 6.66666667e-01 1.06295517e-03 0.00000000e+00]",0.8015503875968992,0.7459697946716443,0.701915556964701,0.7228352975808265,0.7459697946716443,0.8314393939393939,0.7887045943055191,"[[ 53  27]
 [ 18 117]]",0.8589147286821706,0.05415162454873643,0.7295597484276729,0.0,0.027075812274368213,0.0,0.0,1,-1
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.src.losses.Poisson'>, {'reduction': 'auto'})",<class 'keras.src.losses.Poisson'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.confusion_metrics.AUC'>, {}), (<class 'keras.src.metrics.accuracy_metrics.BinaryAccuracy'>, {}), (<class 'keras.src.metrics.confusion_metrics.Precision'>, {}), (<class 'keras.src.metrics.confusion_metrics.Recall'>, {}), (<class 'keras.src.metrics.confusion_metrics.TruePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalsePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.TrueNegatives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalseNegatives'>, {}), (<class 'keras.src.metrics.probabilistic_metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",False,True,"{'method': <function step_decay_70_10 at 0x000001381AE25280>, 'description': 'Step Decay 70% every 10 epochs'}",False,,val_loss,<keras.src.engine.sequential.Sequential object at 0x000001380F0CDD60>,StandardScaler(),IsolationForest(contamination=0.05),"[  2.45243168   0.86474363   0.80775193   0.84176042   0.85701782
 116.          22.          57.66666667  19.33333333   0.45356965
   0.        ]","[1.53319985e-04 4.02600480e-04 3.07674308e-04 5.56422278e-04
 3.91393966e-05 1.06666667e+01 1.80000000e+01 4.62222222e+01
 2.22222222e-01 3.96092724e-04 0.00000000e+00]",0.807751937984496,0.7473098714478024,0.7219271824138659,0.7337170484632209,0.7473098714478024,0.8417604141191815,0.7945351427834919,"[[ 55  25]
 [ 19 116]]",0.8527131782945736,0.047272727272727175,0.7295597484276729,0.0,0.023636363636363587,0.0,0.0,1,-1
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.src.losses.Poisson'>, {'reduction': 'auto'})",<class 'keras.src.losses.Poisson'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.confusion_metrics.AUC'>, {}), (<class 'keras.src.metrics.accuracy_metrics.BinaryAccuracy'>, {}), (<class 'keras.src.metrics.confusion_metrics.Precision'>, {}), (<class 'keras.src.metrics.confusion_metrics.Recall'>, {}), (<class 'keras.src.metrics.confusion_metrics.TruePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalsePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.TrueNegatives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalseNegatives'>, {}), (<class 'keras.src.metrics.probabilistic_metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",False,True,"{'method': <function step_decay_70_10 at 0x000001381AE25280>, 'description': 'Step Decay 70% every 10 epochs'}",False,,val_loss,<keras.src.engine.sequential.Sequential object at 0x0000013822354C70>,StandardScaler(),IsolationForest(contamination=0.05),"[  2.43913245   0.8609998    0.80620156   0.82618348   0.87696548
 118.66666667  25.          54.66666667  16.66666667   0.45086037
   0.        ]","[8.92960131e-04 4.19359625e-04 3.50940623e-04 1.39600899e-04
 2.00720044e-04 6.22222222e+00 4.66666667e+00 2.42222222e+01
 4.22222222e+00 4.40021746e-04 0.00000000e+00]",0.8062015503875969,0.7651612010516119,0.6848922003804692,0.7227250322485922,0.7651612010516119,0.826183499205524,0.795672350128568,"[[ 54  26]
 [ 19 116]]",0.8527131782945736,0.047272727272727175,0.7295597484276729,0.0,0.023636363636363587,0.0,0.0,1,-1
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.src.losses.Poisson'>, {'reduction': 'auto'})",<class 'keras.src.losses.Poisson'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.confusion_metrics.AUC'>, {}), (<class 'keras.src.metrics.accuracy_metrics.BinaryAccuracy'>, {}), (<class 'keras.src.metrics.confusion_metrics.Precision'>, {}), (<class 'keras.src.metrics.confusion_metrics.Recall'>, {}), (<class 'keras.src.metrics.confusion_metrics.TruePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalsePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.TrueNegatives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalseNegatives'>, {}), (<class 'keras.src.metrics.probabilistic_metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",False,True,"{'method': <function step_decay_70_10 at 0x000001381AE25280>, 'description': 'Step Decay 70% every 10 epochs'}",False,,val_loss,<keras.src.engine.sequential.Sequential object at 0x000001380D682610>,StandardScaler(),IsolationForest(contamination=0.05),"[  2.42866651   0.86057923   0.80620156   0.83252013   0.86726095
 117.33333333  23.66666667  56.          18.           0.44429506
   0.        ]","[8.06993789e-04 3.48466496e-04 3.79785182e-04 2.13982091e-04
 1.71882380e-04 8.88888889e-01 6.88888889e+00 2.60000000e+01
 4.66666667e+00 3.47233136e-04 0.00000000e+00]",0.8062015503875969,0.755455022681801,0.7016962587190868,0.727399585015479,0.755455022681801,0.8325201486966192,0.79398758568921,"[[ 54  26]
 [ 17 118]]",0.8573643410852713,0.05244122965641942,0.7169811320754716,-0.017543859649122803,0.01744868500364831,-0.052727272727272755,,1,-1
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.src.losses.Poisson'>, {'reduction': 'auto'})",<class 'keras.src.losses.Poisson'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.confusion_metrics.AUC'>, {}), (<class 'keras.src.metrics.accuracy_metrics.BinaryAccuracy'>, {}), (<class 'keras.src.metrics.confusion_metrics.Precision'>, {}), (<class 'keras.src.metrics.confusion_metrics.Recall'>, {}), (<class 'keras.src.metrics.confusion_metrics.TruePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalsePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.TrueNegatives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalseNegatives'>, {}), (<class 'keras.src.metrics.probabilistic_metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",False,True,"{'method': <function step_decay_70_10 at 0x000001381AE25280>, 'description': 'Step Decay 70% every 10 epochs'}",False,,val_loss,<keras.src.engine.sequential.Sequential object at 0x0000013827CF26D0>,StandardScaler(),IsolationForest(contamination=0.05),"[  2.46963485   0.86688519   0.8139535    0.84122499   0.86933362
 117.66666667  22.33333333  57.33333333  17.66666667   0.44503558
   0.        ]","[2.16743164e-03 3.22663777e-04 1.87488801e-04 2.72757021e-04
 3.65103789e-05 1.08888889e+01 1.08888889e+01 3.75555556e+01
 2.22222222e-01 1.68083519e-04 0.00000000e+00]",0.813953488372093,0.7631337289456331,0.7178424223208624,0.7393057001296411,0.7631337289456331,0.8412249912249913,0.8021793600853122,"[[ 57  23]
 [ 18 117]]",0.8573643410852713,0.05244122965641942,0.710691823899371,-0.026548672566371678,0.01294627854502387,-0.10754017305315224,,1,-1
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.src.losses.Poisson'>, {'reduction': 'auto'})",<class 'keras.src.losses.Poisson'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.confusion_metrics.AUC'>, {}), (<class 'keras.src.metrics.accuracy_metrics.BinaryAccuracy'>, {}), (<class 'keras.src.metrics.confusion_metrics.Precision'>, {}), (<class 'keras.src.metrics.confusion_metrics.Recall'>, {}), (<class 'keras.src.metrics.confusion_metrics.TruePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalsePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.TrueNegatives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalseNegatives'>, {}), (<class 'keras.src.metrics.probabilistic_metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",False,True,"{'method': <function step_decay_70_10 at 0x000001381AE25280>, 'description': 'Step Decay 70% every 10 epochs'}",False,,val_loss,<keras.src.engine.sequential.Sequential object at 0x000001379B6DACD0>,StandardScaler(),IsolationForest(contamination=0.05),"[  2.43524686   0.86801902   0.80775193   0.83167674   0.8720571
 118.          24.          55.66666667  17.33333333   0.44284309
   0.        ]","[2.52306052e-05 3.30533059e-04 4.66317811e-04 3.82017502e-04
 4.19650727e-05 2.66666667e+00 1.26666667e+01 3.88888889e+01
 1.55555556e+00 4.24695564e-04 0.00000000e+00]",0.8077519379844963,0.7603838718586026,0.6969403931515536,0.7270211390848859,0.7603838718586026,0.831676744771983,0.7960303083152928,"[[ 54  26]
 [ 17 118]]",0.8542635658914729,0.049001814882032646,0.7044025157232704,-0.035714285714285705,0.00664376458387347,-0.26341463414634153,,1,-1
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.src.losses.Poisson'>, {'reduction': 'auto'})",<class 'keras.src.losses.Poisson'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.confusion_metrics.AUC'>, {}), (<class 'keras.src.metrics.accuracy_metrics.BinaryAccuracy'>, {}), (<class 'keras.src.metrics.confusion_metrics.Precision'>, {}), (<class 'keras.src.metrics.confusion_metrics.Recall'>, {}), (<class 'keras.src.metrics.confusion_metrics.TruePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalsePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.TrueNegatives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalseNegatives'>, {}), (<class 'keras.src.metrics.probabilistic_metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",False,True,"{'method': <function step_decay_70_10 at 0x000001381AE25280>, 'description': 'Step Decay 70% every 10 epochs'}",False,,val_loss,<keras.src.engine.sequential.Sequential object at 0x000001380C2AD970>,StandardScaler(),IsolationForest(contamination=0.05),"[  2.44696275   0.86783155   0.80155039   0.84055873   0.84485543
 114.33333333  21.66666667  58.          21.           0.43191814
   0.        ]","[1.34926077e-03 4.81506490e-04 5.96117925e-04 3.36178803e-04
 4.60647732e-04 1.35555556e+01 5.55555556e+00 1.26666667e+01
 8.66666667e+00 8.89069892e-04 0.00000000e+00]",0.8015503875968992,0.7340399610136452,0.7277927499471571,0.7308782627299957,0.7340399610136452,0.8405587304617335,0.7872993457376893,"[[ 55  25]
 [ 25 110]]",0.8480620155038759,0.042047531992687306,0.7044025157232704,-0.035714285714285705,0.0031666231392008005,-0.4742268041237156,,1,-1
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.src.losses.Poisson'>, {'reduction': 'auto'})",<class 'keras.src.losses.Poisson'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.confusion_metrics.AUC'>, {}), (<class 'keras.src.metrics.accuracy_metrics.BinaryAccuracy'>, {}), (<class 'keras.src.metrics.confusion_metrics.Precision'>, {}), (<class 'keras.src.metrics.confusion_metrics.Recall'>, {}), (<class 'keras.src.metrics.confusion_metrics.TruePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalsePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.TrueNegatives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalseNegatives'>, {}), (<class 'keras.src.metrics.probabilistic_metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",False,True,"{'method': <function step_decay_70_10 at 0x000001381AE25280>, 'description': 'Step Decay 70% every 10 epochs'}",False,,val_loss,<keras.src.engine.sequential.Sequential object at 0x000001381F97AC70>,StandardScaler(),IsolationForest(contamination=0.05),"[  2.45184127   0.85662148   0.79224807   0.82881548   0.84505365
 114.33333333  23.66666667  56.          21.           0.46443972
   0.        ]","[4.67511789e-04 8.34740890e-04 4.95163170e-04 1.82576114e-04
 4.05536223e-04 6.22222222e+00 6.22222222e+00 2.86666667e+01
 8.66666667e+00 1.90719954e-03 0.00000000e+00]",0.7922480620155038,0.7262182251188015,0.7014082646374974,0.7133910998645298,0.7262182251188015,0.8288154814164472,0.7775168532676244,"[[ 57  23]
 [ 24 111]]",0.8527131782945736,0.047272727272727175,0.6918238993710691,-0.054545454545454536,-0.0036363636363636806,0.7090909090908989,,1,-1
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.85, 'beta_2': 0.95, 'epsilon': 1e-08, 'learning_rate': 0.001}","(<class 'keras.src.losses.Poisson'>, {'reduction': 'auto'})",<class 'keras.src.losses.Poisson'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.confusion_metrics.AUC'>, {}), (<class 'keras.src.metrics.accuracy_metrics.BinaryAccuracy'>, {}), (<class 'keras.src.metrics.confusion_metrics.Precision'>, {}), (<class 'keras.src.metrics.confusion_metrics.Recall'>, {}), (<class 'keras.src.metrics.confusion_metrics.TruePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalsePositives'>, {}), (<class 'keras.src.metrics.confusion_metrics.TrueNegatives'>, {}), (<class 'keras.src.metrics.confusion_metrics.FalseNegatives'>, {}), (<class 'keras.src.metrics.probabilistic_metrics.BinaryCrossentropy'>, {}), (<class 'tensorflow_addons.metrics.matthews_correlation_coefficient.MatthewsCorrelationCoefficient'>, {'num_classes': 2})]",200,"[{'nodes': 256, 'activation': 'relu', 'l2_reg': 0.01, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': True}",False,True,"{'method': <function step_decay_70_10 at 0x000001381AE25280>, 'description': 'Step Decay 70% every 10 epochs'}",False,,val_loss,<keras.src.engine.sequential.Sequential object at 0x000001379F03F3D0>,StandardScaler(),IsolationForest(contamination=0.05),"[  2.44042007   0.84969942   0.79379845   0.81674113   0.86750033
 117.33333333  26.33333333  53.33333333  18.           0.46485137
   0.        ]","[3.73320422e-03 4.66215246e-04 5.96117925e-04 1.27028648e-04
 6.29735633e-04 1.55555556e+00 2.88888889e+00 1.75555556e+01
 1.40000000e+01 7.63114598e-04 0.00000000e+00]",0.7937984496124031,0.7473265519040168,0.6685267385330796,0.7055662370338721,0.7473265519040168,0.8167411292411293,0.7820338405725731,"[[ 52  28]
 [ 19 116]]",0.8465116279069768,0.04029304029304026,0.6792452830188679,-0.07407407407407406,-0.016890516890516898,0.17670682730923667,,1,-1
