event_id,prediction_probability,prediction_probability
8c279d0c-af1c-11ea-8910-4865ee11b869,0.5880125,0.5880125
8ca77210-af1c-11ea-a1d3-4865ee11b869,0.96571463,0.96571463
8cb12f74-af1c-11ea-85c6-4865ee11b869,0.9246407,0.9246407
8cee839c-af1c-11ea-9c9a-4865ee11b869,0.9661293,0.9661293
8d97ef18-af1c-11ea-bda1-4865ee11b869,0.7954244,0.7954244
8dd3e4ac-af1c-11ea-ab37-4865ee11b869,0.966051,0.966051
8f19b680-af1c-11ea-853b-4865ee11b869,0.111723505,0.111723505
939f7e6c-af1c-11ea-9693-4865ee11b869,0.96505105,0.96505105
939560b8-af1c-11ea-a19d-4865ee11b869,0.55919254,0.55919254
188b929e-47af-11ec-a3ad-0242ac130002,0.93754405,0.93754405
93d0e0b6-af1c-11ea-af54-4865ee11b869,0.114773065,0.114773065
93a97668-af1c-11ea-846b-4865ee11b869,0.96369576,0.96369576
06124446-47af-11ec-a3ad-0242ac130002,0.964402,0.964402
93daebde-af1c-11ea-a3c6-4865ee11b869,0.9654441,0.9654441
93c6d578-af1c-11ea-ad7c-4865ee11b869,0.93969727,0.93969727
9428d6a4-af1c-11ea-8735-4865ee11b869,0.9564538,0.9564538
941ea46c-af1c-11ea-bc2b-4865ee11b869,0.9663575,0.9663575
943c6542-af1c-11ea-8f87-4865ee11b869,0.10930928,0.10930928
9445fbd8-af1c-11ea-9a96-4865ee11b869,0.96507037,0.96507037
9459c49c-af1c-11ea-a7d9-4865ee11b869,0.9663495,0.9663495
9476d614-af1c-11ea-b473-4865ee11b869,0.9672133,0.9672133
94a825be-af1c-11ea-b5c4-4865ee11b869,0.10375053,0.10375053
946cf954-af1c-11ea-a916-4865ee11b869,0.33499655,0.33499655
948b4eae-af1c-11ea-9a74-4865ee11b869,0.9656734,0.9656734
949532fa-af1c-11ea-afc3-4865ee11b869,0.91221243,0.91221243
94817d28-af1c-11ea-a560-4865ee11b869,0.37713197,0.37713197
94b1e312-af1c-11ea-b141-4865ee11b869,0.09018382,0.09018382
94bbee4a-af1c-11ea-997c-4865ee11b869,0.08866229,0.08866229
95437362-af1c-11ea-be3f-4865ee11b869,0.87368333,0.87368333
9539c8da-af1c-11ea-8835-4865ee11b869,0.969737,0.969737
95300b86-af1c-11ea-9ef5-4865ee11b869,0.6802344,0.6802344
9573ec10-af1c-11ea-bd0f-4865ee11b869,0.83266747,0.83266747
95915f28-af1c-11ea-aa3e-4865ee11b869,0.10126874,0.10126874
957dbd58-af1c-11ea-a9b1-4865ee11b869,0.9668817,0.9668817
95877ae2-af1c-11ea-b75c-4865ee11b869,0.96537644,0.96537644
956a2ea8-af1c-11ea-99b2-4865ee11b869,0.9663228,0.9663228
95a46524-af1c-11ea-8b72-4865ee11b869,0.9670699,0.9670699
95b7db92-af1c-11ea-addc-4865ee11b869,0.8577224,0.8577224
95ae38c8-af1c-11ea-8c23-4865ee11b869,0.9651262,0.9651262
95d52780-af1c-11ea-b027-4865ee11b869,0.16527875,0.16527875
95cb6a10-af1c-11ea-84ec-4865ee11b869,0.094092414,0.094092414
95c185e2-af1c-11ea-9da9-4865ee11b869,0.10519401,0.10519401
95f29a48-af1c-11ea-ba92-4865ee11b869,0.14803301,0.14803301
95e88f1a-af1c-11ea-8354-4865ee11b869,0.11963782,0.11963782
96061502-af1c-11ea-a093-4865ee11b869,0.104871556,0.104871556
95fc57ae-af1c-11ea-bd08-4865ee11b869,0.96225166,0.96225166
95ded1be-af1c-11ea-b893-4865ee11b869,0.09872863,0.09872863
962cbc6e-af1c-11ea-9507-4865ee11b869,0.10359987,0.10359987
963679c2-af1c-11ea-a3f4-4865ee11b869,0.13409048,0.13409048
96403718-af1c-11ea-a29e-4865ee11b869,0.96557987,0.96557987
