event_id,prediction_probability,prediction_probability
c14bad14-af1a-11ea-beea-4865ee11b869,0.96262133,0.96262133
c17c3930-af1a-11ea-83a8-4865ee11b869,0.4591622,0.4591622
c164f078-af1a-11ea-a16d-4865ee11b869,0.62186885,0.62186885
c183fc12-af1a-11ea-921c-4865ee11b869,0.53812325,0.53812325
c19c7d24-af1a-11ea-af28-4865ee11b869,0.67993736,0.67993736
c1aba1de-af1a-11ea-ad3e-4865ee11b869,0.65222216,0.65222216
c1940a7a-af1a-11ea-8b24-4865ee11b869,0.59673387,0.59673387
c20752a8-af1a-11ea-9ced-4865ee11b869,0.6144764,0.6144764
c215ee9e-af1a-11ea-bee0-4865ee11b869,0.7417928,0.7417928
c1f20478-af1a-11ea-b428-4865ee11b869,0.66918427,0.66918427
c20ea0a4-af1a-11ea-9183-4865ee11b869,0.5647093,0.5647093
c20004a4-af1a-11ea-8071-4865ee11b869,0.81067294,0.81067294
c1e9f3b4-af1a-11ea-ae3a-4865ee11b869,0.7453964,0.7453964
c2b6567e-af1a-11ea-8ed4-4865ee11b869,0.5176707,0.5176707
c2ecbe80-af1a-11ea-84d6-4865ee11b869,0.60349727,0.60349727
c2de2280-af1a-11ea-a288-4865ee11b869,0.5715566,0.5715566
c2e57080-af1a-11ea-ada1-4865ee11b869,0.6489291,0.6489291
c2cfad6e-af1a-11ea-84e9-4865ee11b869,0.67545915,0.67545915
c3d8b69c-af1a-11ea-b786-4865ee11b869,0.7405836,0.7405836
c40415b6-af1a-11ea-a207-4865ee11b869,0.5552175,0.5552175
c3f5c7a4-af1a-11ea-96ac-4865ee11b869,0.6808406,0.6808406
c3ee52ae-af1a-11ea-a6da-4865ee11b869,0.46760526,0.46760526
c3fceeae-af1a-11ea-893c-4865ee11b869,0.54310536,0.54310536
c3e00498-af1a-11ea-aa81-4865ee11b869,0.634138,0.634138
c47f81b0-af1a-11ea-978a-4865ee11b869,0.7096657,0.7096657
c4b8a7cc-af1a-11ea-8718-4865ee11b869,0.4802284,0.4802284
c49260c2-af1a-11ea-a361-4865ee11b869,0.73558027,0.73558027
c4af2414-af1a-11ea-9cfb-4865ee11b869,0.67869085,0.67869085
c4a58db6-af1a-11ea-be85-4865ee11b869,0.6651919,0.6651919
c488f158-af1a-11ea-8bc4-4865ee11b869,0.6139123,0.6139123
c526e94a-af1a-11ea-8962-4865ee11b869,0.61520314,0.61520314
c50a7412-af1a-11ea-95a8-4865ee11b869,0.4068692,0.4068692
c5187434-af1a-11ea-9f5b-4865ee11b869,0.48357555,0.48357555
c511742e-af1a-11ea-9b57-4865ee11b869,0.76434565,0.76434565
c5bf506e-af1a-11ea-aeb0-4865ee11b869,0.6843536,0.6843536
c5afba00-af1a-11ea-b8b0-4865ee11b869,0.6810107,0.6810107
c5a02068-af1a-11ea-b9eb-4865ee11b869,0.51559556,0.51559556
c5a7bc4a-af1a-11ea-8679-4865ee11b869,0.79720473,0.79720473
c597fbda-af1a-11ea-b6ff-4865ee11b869,0.61517644,0.61517644
c5d721dc-af1a-11ea-ada2-4865ee11b869,0.36533976,0.36533976
c61b4f34-af1a-11ea-9b5d-4865ee11b869,0.7324792,0.7324792
c5e4d422-af1a-11ea-8bc0-4865ee11b869,0.4549743,0.4549743
c604a268-af1a-11ea-9f39-4865ee11b869,0.5811044,0.5811044
c5fd5458-af1a-11ea-a055-4865ee11b869,0.4765858,0.4765858
c5ece4f4-af1a-11ea-b089-4865ee11b869,0.49146053,0.49146053
c69d3306-af1a-11ea-81f4-4865ee11b869,0.6450273,0.6450273
c6c2b768-af1a-11ea-918d-4865ee11b869,0.62732303,0.62732303
c6b4557a-af1a-11ea-8113-4865ee11b869,0.8118377,0.8118377
c6a530b0-af1a-11ea-ad1d-4865ee11b869,0.7491995,0.7491995
c6edb588-af1a-11ea-ab78-4865ee11b869,0.61517644,0.61517644
c7fee0e4-af1a-11ea-a28a-4865ee11b869,0.5753682,0.5753682
c7f792ec-af1a-11ea-ab73-4865ee11b869,0.42790765,0.42790765
c81b2f2c-af1a-11ea-8e93-4865ee11b869,0.5381588,0.5381588
c8227d24-af1a-11ea-9efa-4865ee11b869,0.41605866,0.41605866
c837a45c-af1a-11ea-b1d7-4865ee11b869,0.7514324,0.7514324
c8307d52-af1a-11ea-ac7e-4865ee11b869,0.5689796,0.5689796
c9669eb4-af1a-11ea-a9de-4865ee11b869,0.7299159,0.7299159
c983c3c0-af1a-11ea-b555-4865ee11b869,0.5778468,0.5778468
c97561d0-af1a-11ea-af72-4865ee11b869,0.7012583,0.7012583
c97c88dc-af1a-11ea-8545-4865ee11b869,0.66607684,0.66607684
c96e13a4-af1a-11ea-b122-4865ee11b869,0.8929946,0.8929946
c99973a8-af1a-11ea-a65d-4865ee11b869,0.6045864,0.6045864
c9dba76c-af1a-11ea-8032-4865ee11b869,0.69518656,0.69518656
c9e3913a-af1a-11ea-9520-4865ee11b869,0.751153,0.751153
c9c21674-af1a-11ea-ae19-4865ee11b869,0.6296912,0.6296912
c9d36fa8-af1a-11ea-80eb-4865ee11b869,0.7345594,0.7345594
c9b88012-af1a-11ea-b3d9-4865ee11b869,0.75412124,0.75412124
ca0ccef4-af1a-11ea-b9f7-4865ee11b869,0.79117787,0.79117787
ca3be8f4-af1a-11ea-b3f0-4865ee11b869,0.5418114,0.5418114
ca67e406-af1a-11ea-879f-4865ee11b869,0.35098588,0.35098588
ca5247c8-af1a-11ea-9338-4865ee11b869,0.4387644,0.4387644
ca6ee41c-af1a-11ea-9c59-4865ee11b869,0.6655876,0.6655876
ca609606-af1a-11ea-9a02-4865ee11b869,0.5891137,0.5891137
ca8f625a-af1a-11ea-8154-4865ee11b869,0.5708662,0.5708662
cb1a1a42-af1a-11ea-b7a4-4865ee11b869,0.4536627,0.4536627
cb0ba54a-af1a-11ea-8d47-4865ee11b869,0.48696193,0.48696193
cb047e2e-af1a-11ea-bb60-4865ee11b869,0.7050121,0.7050121
cb399aa6-af1a-11ea-83f5-4865ee11b869,0.6287888,0.6287888
cb814f0c-af1a-11ea-a00d-4865ee11b869,0.46006843,0.46006843
cb6fce9e-af1a-11ea-9de4-4865ee11b869,0.45971447,0.45971447
cb68a79c-af1a-11ea-85f3-4865ee11b869,0.5476999,0.5476999
cb895fda-af1a-11ea-961b-4865ee11b869,0.6182424,0.6182424
