learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020211C91940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000202235DF550>,StandardScaler(),IsolationForest(contamination=0.05),"[1.21385117e+01 2.60547180e+02 1.23271952e+01 1.28444244e+02
 1.61414738e+01 1.12014912e-01 1.16564398e+01 1.86523795e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.327193492891544,9.535060139371147,0.5560074563633283,0.3345062073369762,-0.13124311622922225,16.35216880695873,12.327251415233713,9.52995586024393,10.748909001913924,0.5683636117136659,0.03442713078167602,-0.18370880655325655,-0.3578758607227597,17.370842159415222,12.948107250546478,10.053056537268969,11.580463455941759,0.566283084004603,0.02804260370702493,0.031234867244350477,0.030908611767993956,0.031071311290006093
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020211C91940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020226AEC520>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19455652e+01 2.60004059e+02 1.22799644e+01 1.35355484e+02
 1.61246414e+01 1.15404166e-01 1.16100531e+01 2.06980705e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.27996601038189,9.435123329150564,0.5577020843924758,0.5004533034547423,0.008012581167625599,16.32886026019888,12.282169809759639,9.452949184677546,10.771505515133242,0.5711767895878525,0.0422294288999482,0.008338552297152838,-0.1725441852738243,17.29782756443277,12.902089897521575,9.986258986917303,11.52092992155908,0.5663981588032221,0.034500776191966655,0.03836510254595743,0.037975868132931696,0.03816998919559294
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020211C91940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002022E3344F0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19496098e+01 2.63206268e+02 1.24036856e+01 1.20544525e+02
 1.62236328e+01 9.57464799e-02 1.17338867e+01 8.63695145e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],12.403684685462279,9.703010313724326,0.5478732418234198,0.12157187332812476,-0.3003416019440128,16.51647981432564,12.466990842229851,9.719067052105059,10.834101572379003,0.5548739154013015,0.015266429640509062,-0.39156565669155297,-0.6086343811293689,17.434077915278422,13.043966791877313,10.150385514941068,11.573061942918807,0.5553509781357883,0.018632568125176958,0.01694949888284301,0.016782371695539675,0.016865728276745297
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020211C91940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020233951640>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19236135e+01 2.63236603e+02 1.23991194e+01 1.22604294e+02
 1.62245674e+01 9.20182988e-02 1.17298250e+01 8.52268934e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],12.399120725575228,9.693007234861469,0.5460091509913574,0.25458434941894736,-0.21304696675718837,16.517174193466712,12.460777296857984,9.70384874178835,10.84461271764474,0.5540604663774403,0.016808345235150936,-0.22854374507087075,-0.48256577993783745,17.426546900259773,13.036692244514018,10.124169711773366,11.565546706299413,0.5544303797468354,0.02116718470612883,0.018987764970639885,0.018737610705997186,0.018862273145006152
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020211C91940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020237967190>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19514446e+01 2.62297180e+02 1.23935280e+01 1.27063721e+02
 1.61955910e+01 7.81223550e-02 1.17235756e+01 1.20609403e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.393529992919383,9.663623441549973,0.5390611760718522,-0.05676794788539422,-0.5404435644833641,16.49211884430582,12.458132178491827,9.716199021813253,10.806613190711882,0.5439262472885033,0.015557017789969088,-0.5411336015204583,-0.7375621721292918,17.36856887432572,13.017784700987162,10.1310338138365,11.509901057951453,0.5414269275028769,0.020503544275535333,0.01803028103275221,0.01769101671086003,0.017859843309836792
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020211C91940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020233E5CEE0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19265957e+01 2.62529480e+02 1.23949995e+01 1.20144989e+02
 1.62027607e+01 1.00830369e-01 1.17252350e+01 1.11860633e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.395001711366593,9.712103975542977,0.5504151838671412,0.5136859361753399,0.004957030892408509,16.490740690982157,12.454475319778442,9.715149951991382,10.820776204399376,0.5509422451193059,0.015663309295697894,0.07981760178482886,-0.12399647661214874,17.37073210929744,13.010430580943535,10.182526578317646,11.50903647536127,0.5579976985040276,0.015525080948737299,0.015594195122217595,0.015593888805095204,0.015594041962904268
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020211C91940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002023CEF50D0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19452553e+01 2.62021362e+02 1.23914547e+01 1.25074532e+02
 1.61870747e+01 8.04948285e-02 1.17211142e+01 1.30999088e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.391454202857364,9.711535984269252,0.5402474156922555,0.12546103299574354,-0.360397404680473,16.48575544870447,12.455251475345667,9.717830592510133,10.800802108356322,0.545451464208243,0.015391707433633573,-0.31666157438929593,-0.5601824189180222,17.3688386919404,13.016065524110719,10.216233919648523,11.503885599667827,0.5481012658227848,0.012266161674339294,0.013828934553986434,0.01365232954773477,0.013740348315274957
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020211C91940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002023F99A3D0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19117565e+01 2.62553070e+02 1.23841829e+01 1.23216393e+02
 1.62034893e+01 9.67632607e-02 1.17145624e+01 1.10971928e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.384184511511819,9.717541164455819,0.548381630232164,0.502915452818606,0.042211293993655474,16.4946347521619,12.443854993745939,9.690893173368153,10.838410050583967,0.5511456073752712,0.018121000357094446,0.009411255960013926,-0.18696180434338427,17.393448432553406,13.011658275729797,10.146515431547549,11.541637712808745,0.5596087456846951,0.01900673852446361,0.018563869440779028,0.018553304131326206,0.018558586034205456
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020211C91940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000020202262D60>,StandardScaler(),IsolationForest(contamination=0.05),"[1.18814898e+01 2.58798340e+02 1.23077116e+01 1.33605072e+02
 1.60872097e+01 1.17776647e-01 1.16385412e+01 2.52393484e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.30771236575666,9.588657694071994,0.5588883240128791,0.49155521249013884,-0.06926332571535188,16.383260177645525,12.356842607820012,9.63048353873026,10.768292068479088,0.5598562906724512,0.02424169022188962,0.04749665372760922,-0.19093205047795703,17.237860173134102,12.894585797901318,10.009972521261211,11.439257008764399,0.5574223245109321,0.032208085902962195,0.028224888062425908,0.027662764839766464,0.027942412943402356
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000020211C91940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000202056B6460>,StandardScaler(),IsolationForest(contamination=0.05),"[1.18451595e+01 2.59042969e+02 1.23012943e+01 1.35552032e+02
 1.60948124e+01 1.11337058e-01 1.16323223e+01 2.43179202e-02]",[0. 0. 0. 0. 0. 0. 0. 0.],12.301292153661937,9.56513092708683,0.5556685307574988,0.4405728081739856,-0.12667390856675298,16.381459030531797,12.356984132724916,9.598983340912369,10.763181616684184,0.5598562906724512,0.02743328279944302,0.022533698389009565,-0.24321567451961812,17.23504171881947,12.90021224237792,9.998838996306318,11.42858445065324,0.5554660529344073,0.033284505983422655,0.030358894391432835,0.030076960435708792,0.030217598605497872
