learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.01,64,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.losses.LogCosh'>, {'reduction': 'auto'})",<class 'keras.losses.LogCosh'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.MeanSquaredError'>, {}), (<class 'keras.metrics.metrics.MeanAbsoluteError'>, {}), (<class 'keras.metrics.metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.metrics.metrics.RootMeanSquaredError'>, {}), (<class 'keras.metrics.metrics.CosineSimilarity'>, {}), (<class 'keras.metrics.metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function swish at 0x000002144017ECA0>, 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function exponential_decay_90 at 0x000002147FAA3790>, 'description': 'Exponential Decay 10%'}",True,0.3,val_root_mean_squared_error,<keras.engine.sequential.Sequential object at 0x0000021411506580>,StandardScaler(),IsolationForest(contamination=0.05),"[1.87605913e+00 9.27024078e+00 2.43112461e+00 4.75230853e+07
 3.04460486e+00 4.69587048e-01 1.84398949e+00 3.66900822e-01]","[4.27672440e-04 2.31543049e-02 4.89874596e-04 7.98233281e+12
 6.22355576e-04 4.23356052e-05 4.35815745e-04 1.15589194e-04]",2.4311242612311728,2.0396415196079443,0.7226070416714824,-0.5559455986937772,-0.047508955001831055,16.18422813302422,12.0856535769298,9.085948944091797,10.77822548985541,0.7258212645708231,0.06934130914279203,0.051491996147483884,0.41457533836364746,16.71634673977043,12.498724762603027,9.518021911382675,11.099610320811239,0.7150851884094018,0.0653055659467843,0.06732343754478817,0.06726295629287167,0.0672931901239714
0.01,64,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.losses.LogCosh'>, {'reduction': 'auto'})",<class 'keras.losses.LogCosh'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.MeanSquaredError'>, {}), (<class 'keras.metrics.metrics.MeanAbsoluteError'>, {}), (<class 'keras.metrics.metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.metrics.metrics.RootMeanSquaredError'>, {}), (<class 'keras.metrics.metrics.CosineSimilarity'>, {}), (<class 'keras.metrics.metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function swish at 0x000002144017ECA0>, 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",0.85,True,PCA(n_components=0.85),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function exponential_decay_90 at 0x000002147FAA3790>, 'description': 'Exponential Decay 10%'}",True,0.3,val_root_mean_squared_error,<keras.engine.sequential.Sequential object at 0x000002141C932F10>,StandardScaler(),IsolationForest(contamination=0.05),"[1.86685630e+00 9.20476913e+00 2.45670740e+00 4.16329507e+07
 3.03387213e+00 4.64359303e-01 1.86342184e+00 3.71338944e-01]","[3.30129526e-04 1.43869024e-02 3.97762395e-04 1.28928307e+13
 3.89020203e-04 7.46558082e-05 3.29712481e-04 1.15419036e-04]",2.4567076580558926,2.1465901070309985,0.7199931754799597,-1.376256836279204,-0.8151281103491783,16.58477556583083,12.379632782415579,9.19553530216217,11.121520079023814,0.7196043800777111,0.05811656011931209,-0.8204366347295916,-0.3434333801269531,16.928536743277,12.653109097803567,9.437822818756104,11.275081965966834,0.7135928367118518,0.07318132481686292,0.0656489424680875,0.06478469726146101,0.06521538824027746
0.01,64,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.losses.LogCosh'>, {'reduction': 'auto'})",<class 'keras.losses.LogCosh'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.MeanSquaredError'>, {}), (<class 'keras.metrics.metrics.MeanAbsoluteError'>, {}), (<class 'keras.metrics.metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.metrics.metrics.RootMeanSquaredError'>, {}), (<class 'keras.metrics.metrics.CosineSimilarity'>, {}), (<class 'keras.metrics.metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function swish at 0x000002144017ECA0>, 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",0.9,True,PCA(n_components=0.9),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function exponential_decay_90 at 0x000002147FAA3790>, 'description': 'Exponential Decay 10%'}",True,0.3,val_root_mean_squared_error,<keras.engine.sequential.Sequential object at 0x0000021422292280>,StandardScaler(),IsolationForest(contamination=0.05),"[1.86356850e+00 9.21121629e+00 2.45295628e+00 4.20134160e+07
 3.03494112e+00 4.64429984e-01 1.86017195e+00 3.70926082e-01]","[4.13641536e-04 1.28815881e-02 5.02406733e-04 6.77138964e+12
 3.48701805e-04 8.51877395e-05 4.13497340e-04 7.45778642e-05]",2.452955244443997,2.1271831527885436,0.7200285124128988,-0.9790962935162937,-0.48759613931179047,16.505549521805648,12.338052780785514,9.258076667785645,11.007220569028421,0.720063581773225,0.05171055169754868,-0.41076095237043064,-0.029776914045214653,16.87465750527683,12.639122045607406,9.533740997314453,11.187293519967735,0.7130953861460018,0.06376191094518506,0.05773623132136687,0.05710735731802574,0.057420933397720794
0.01,64,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.losses.LogCosh'>, {'reduction': 'auto'})",<class 'keras.losses.LogCosh'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.MeanSquaredError'>, {}), (<class 'keras.metrics.metrics.MeanAbsoluteError'>, {}), (<class 'keras.metrics.metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.metrics.metrics.RootMeanSquaredError'>, {}), (<class 'keras.metrics.metrics.CosineSimilarity'>, {}), (<class 'keras.metrics.metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function swish at 0x000002144017ECA0>, 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",0.95,True,PCA(n_components=0.95),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function exponential_decay_90 at 0x000002147FAA3790>, 'description': 'Exponential Decay 10%'}",True,0.3,val_root_mean_squared_error,<keras.engine.sequential.Sequential object at 0x0000021423CC9220>,StandardScaler(),IsolationForest(contamination=0.05),"[1.87447898e+00 9.23472691e+00 2.46328696e+00 4.16750160e+07
 3.03880692e+00 4.61604089e-01 1.86944377e+00 3.69313002e-01]","[6.28442219e-04 1.40733247e-02 7.80466371e-04 6.64766771e+12
 3.79566573e-04 9.44913482e-05 6.34690783e-04 8.94549702e-05]",2.4632866460317686,2.153299281669155,0.7186155629033416,-1.047347992861364,-0.5027858018875122,16.686015862345158,12.414450094123534,9.254776418209076,11.198039410150532,0.7196397032850583,0.052048590791685195,-0.6426717717694607,-0.15648145973682404,17.05315186274249,12.696381430635485,9.51568603515625,11.401969824737156,0.7122248476557642,0.06553495504966772,0.05879177292067646,0.0580183567951567,0.05840378461993399
0.01,64,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.losses.LogCosh'>, {'reduction': 'auto'})",<class 'keras.losses.LogCosh'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.MeanSquaredError'>, {}), (<class 'keras.metrics.metrics.MeanAbsoluteError'>, {}), (<class 'keras.metrics.metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.metrics.metrics.RootMeanSquaredError'>, {}), (<class 'keras.metrics.metrics.CosineSimilarity'>, {}), (<class 'keras.metrics.metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function swish at 0x000002144017ECA0>, 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",0.99,True,PCA(n_components=0.99),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function exponential_decay_90 at 0x000002147FAA3790>, 'description': 'Exponential Decay 10%'}",True,0.3,val_root_mean_squared_error,<keras.engine.sequential.Sequential object at 0x00000214105D9340>,StandardScaler(),IsolationForest(contamination=0.05),"[1.87701130e+00 9.26053874e+00 2.46222178e+00 4.22597573e+07
 3.04302526e+00 4.63228991e-01 1.86919375e+00 3.67558698e-01]","[1.73406149e-04 1.99207048e-02 1.61695291e-04 1.22094032e+13
 5.35871152e-04 1.10067226e-04 1.75921015e-04 1.06297476e-04]",2.4622221125999837,2.1432069514324863,0.7194280166387242,-1.464610100712669,-0.8289437294006348,16.74075642339462,12.43740126065346,9.189582347869873,11.300604838991392,0.7204168138466973,0.0587263113607611,-1.0210385555636916,-0.5384721755981445,17.06844465202426,12.73191155747014,9.575030326843262,11.412831307064113,0.7144633752020892,0.059707191713007944,0.05921675153688452,0.05921268965304062,0.05921472056013403
0.01,64,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.losses.LogCosh'>, {'reduction': 'auto'})",<class 'keras.losses.LogCosh'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.MeanSquaredError'>, {}), (<class 'keras.metrics.metrics.MeanAbsoluteError'>, {}), (<class 'keras.metrics.metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.metrics.metrics.RootMeanSquaredError'>, {}), (<class 'keras.metrics.metrics.CosineSimilarity'>, {}), (<class 'keras.metrics.metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function swish at 0x000002144017ECA0>, 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",,False,,3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function exponential_decay_90 at 0x000002147FAA3790>, 'description': 'Exponential Decay 10%'}",True,0.3,val_root_mean_squared_error,<keras.engine.sequential.Sequential object at 0x000002142654F8E0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.86866542e+00 9.26251094e+00 2.42302942e+00 4.77928667e+07
 3.04333528e+00 4.70575968e-01 1.83742090e+00 3.67391090e-01]","[2.93393691e-04 2.31440941e-02 2.86557560e-04 2.71058315e+13
 6.21237948e-04 2.29915050e-05 2.72541145e-04 1.62059711e-04]",2.4230295885388085,2.0318992832189267,0.7231015041869249,-0.6824835015405158,-0.30756857991218567,16.364992682553208,12.166922379639631,9.046132564544678,10.965379896331939,0.7272341928647121,0.07341963490623266,-0.06637732147676305,0.1534872055053711,17.028761432150585,12.640131582324178,9.428895950317383,11.410097446424812,0.7169506280313394,0.07405796644690782,0.07373880067657024,0.07373741922219315,0.07373810994614657
0.01,64,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.losses.LogCosh'>, {'reduction': 'auto'})",<class 'keras.losses.LogCosh'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.MeanSquaredError'>, {}), (<class 'keras.metrics.metrics.MeanAbsoluteError'>, {}), (<class 'keras.metrics.metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.metrics.metrics.RootMeanSquaredError'>, {}), (<class 'keras.metrics.metrics.CosineSimilarity'>, {}), (<class 'keras.metrics.metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function swish at 0x000002144017ECA0>, 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",0.85,True,PCA(n_components=0.85),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function exponential_decay_90 at 0x000002147FAA3790>, 'description': 'Exponential Decay 10%'}",True,0.3,val_root_mean_squared_error,<keras.engine.sequential.Sequential object at 0x000002141A8EA670>,StandardScaler(),IsolationForest(contamination=0.05),"[1.87780042e+00 9.22288513e+00 2.46971019e+00 4.05937573e+07
 3.03680571e+00 4.61392293e-01 1.87441508e+00 3.70126069e-01]","[1.56983261e-03 2.58039813e-02 1.95720227e-03 4.97068341e+12
 6.96062633e-04 1.40188948e-04 1.57502876e-03 1.38819282e-04]",2.469709827556084,2.1713407255301447,0.7185096644040998,-1.2146648133669402,-0.7234351634979248,16.546951512726103,12.3641661896435,9.243836164474487,11.063410929039813,0.720522783468739,0.053169182848819586,-0.6765263797513212,-0.3022857904434204,16.83988089866897,12.624139233903756,9.527932405471802,11.164704212463965,0.7132197487874642,0.06433232972710866,0.058750756287964126,0.05822048290894813,0.058485018614609266
0.01,64,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.losses.LogCosh'>, {'reduction': 'auto'})",<class 'keras.losses.LogCosh'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.MeanSquaredError'>, {}), (<class 'keras.metrics.metrics.MeanAbsoluteError'>, {}), (<class 'keras.metrics.metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.metrics.metrics.RootMeanSquaredError'>, {}), (<class 'keras.metrics.metrics.CosineSimilarity'>, {}), (<class 'keras.metrics.metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function swish at 0x000002144017ECA0>, 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",0.9,True,PCA(n_components=0.9),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function exponential_decay_90 at 0x000002147FAA3790>, 'description': 'Exponential Decay 10%'}",True,0.3,val_root_mean_squared_error,<keras.engine.sequential.Sequential object at 0x000002149612EB80>,StandardScaler(),IsolationForest(contamination=0.05),"[1.86329218e+00 9.24086889e+00 2.45179629e+00 4.27761013e+07
 3.03980486e+00 4.61674651e-01 1.85994522e+00 3.68883888e-01]","[2.46839896e-04 1.69252702e-02 2.68039568e-04 1.23341078e+13
 4.55691118e-04 4.66448238e-05 2.47807489e-04 1.14727459e-04]",2.4517960627350983,2.1206822056559482,0.7186508436864932,-1.0874149876998942,-0.5221123844385147,16.56061904241429,12.372307129901108,9.285175800323486,11.06152002312228,0.7191098551748498,0.04893483246709523,-0.5310562975238358,-0.1106252670288086,16.94574721768559,12.66595869563594,9.466922760009766,11.269158859849156,0.7124735729386892,0.07032363512310992,0.05962923379510257,0.05771121116617726,0.058662384056791604
0.01,64,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.losses.LogCosh'>, {'reduction': 'auto'})",<class 'keras.losses.LogCosh'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.MeanSquaredError'>, {}), (<class 'keras.metrics.metrics.MeanAbsoluteError'>, {}), (<class 'keras.metrics.metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.metrics.metrics.RootMeanSquaredError'>, {}), (<class 'keras.metrics.metrics.CosineSimilarity'>, {}), (<class 'keras.metrics.metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function swish at 0x000002144017ECA0>, 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",0.95,True,PCA(n_components=0.95),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function exponential_decay_90 at 0x000002147FAA3790>, 'description': 'Exponential Decay 10%'}",True,0.3,val_root_mean_squared_error,<keras.engine.sequential.Sequential object at 0x00000214190D5190>,StandardScaler(),IsolationForest(contamination=0.05),"[1.87559863e+00 9.23929660e+00 2.46424818e+00 4.15046800e+07
 3.03950953e+00 4.62451835e-01 1.87070549e+00 3.69005183e-01]","[2.67622680e-04 2.51799285e-02 2.67569028e-04 1.69693326e+13
 6.78076088e-04 8.78898465e-05 2.65886191e-04 1.36058979e-04]",2.4642486214926165,2.156277916477871,0.719039433905928,-1.6673822037523205,-0.9855120643042028,16.783297304639095,12.479445661841744,9.204297609627247,11.345363136582542,0.7193571176262805,0.05721905148873157,-1.146665765840479,-0.588973879814148,17.131885603870803,12.759807084559018,9.39657211303711,11.488410816652335,0.7144633752020892,0.0772322510907561,0.06722565128974384,0.06573615973917413,0.06647673391309637
0.01,64,"(<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.optimizers.optimizer_experimental.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.losses.LogCosh'>, {'reduction': 'auto'})",<class 'keras.losses.LogCosh'>,{'reduction': 'auto'},"[(<class 'keras.metrics.metrics.MeanSquaredError'>, {}), (<class 'keras.metrics.metrics.MeanAbsoluteError'>, {}), (<class 'keras.metrics.metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.metrics.metrics.RootMeanSquaredError'>, {}), (<class 'keras.metrics.metrics.CosineSimilarity'>, {}), (<class 'keras.metrics.metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': <function swish at 0x000002144017ECA0>, 'l2_reg': 0.0001, 'l1_reg': 0.0001}]",0.99,True,PCA(n_components=0.99),3,False,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function exponential_decay_90 at 0x000002147FAA3790>, 'description': 'Exponential Decay 10%'}",True,0.3,val_root_mean_squared_error,<keras.engine.sequential.Sequential object at 0x000002141A797C70>,StandardScaler(),IsolationForest(contamination=0.05),"[1.88115366e+00 9.26603095e+00 2.46706176e+00 4.09098787e+07
 3.04394539e+00 4.60332185e-01 1.87338960e+00 3.67180725e-01]","[2.61647403e-04 1.58909799e-02 2.76146280e-04 1.27901700e+13
 4.27307684e-04 4.07239633e-05 2.60168679e-04 9.10903916e-05]",2.467062217431709,2.1657889700590416,0.7179796178966532,-1.1745167716541216,-0.684032678604126,16.764771883282762,12.46569765534986,9.190386891365051,11.271113851152561,0.7182974214058636,0.05864390330403884,-0.5965402445744906,-0.19273316860198975,17.266564531963216,12.827145541799572,9.563890933990479,11.572986990224006,0.7123492102972268,0.06080110897808347,0.05972250614106116,0.05970302631418843,0.059712765433272766
