learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001E7C0D23940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001E7C0BA9DF0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.28536663e+01 2.68309113e+02 1.23038321e+01 1.17642704e+08
 1.63801441e+01 4.70598161e-01 1.16353807e+01 3.79843116e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],12.30383428047924,9.243871688842773,0.7241145568547703,-0.591532245165226,-0.05348396301269531,16.6483082076189,12.395489626032766,9.252208948135376,11.129362851543927,0.7224783080260304,0.06256838209218546,0.07440659958007557,0.3418707847595215,17.643780432101927,13.04167265707522,9.796306788921356,11.882917337316128,0.7102416570771001,0.05286588168001593,0.0577171318861007,0.057309373776974946,0.057512891464396955
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001E7C0D23940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001E7815C7460>,StandardScaler(),IsolationForest(contamination=0.05),"[1.21444521e+01 2.65861877e+02 1.22593679e+01 1.24792536e+08
 1.63052711e+01 4.66869980e-01 1.15900297e+01 3.85499537e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],12.259364880791884,9.28720760345459,0.722250466022708,-0.7656257566430257,-0.24908828735351562,16.536116270475443,12.32345960736214,9.257436752319336,11.052444967134376,0.7241052060737527,0.06203870221122444,0.05581829047518578,0.4057525396347046,17.49797498864749,12.96343346274146,9.757824063301086,11.75211882960456,0.7164556962025317,0.05658649835589663,0.059312600283560536,0.05918730428094922,0.05924991916177956
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001E7C0D23940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001E7810FD220>,StandardScaler(),IsolationForest(contamination=0.05),"[1.20006237e+01 2.73019989e+02 1.24081078e+01 1.27543648e+08
 1.65233173e+01 4.59752589e-01 1.17403126e+01 3.68954659e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],12.40810779298166,9.350303649902344,0.7186917471614981,-0.49685862166261596,-0.08838057518005371,17.045194190771447,12.663751838235852,9.465936660766602,11.419696821679677,0.7133947939262473,0.04091354090055799,0.444339325046649,0.6215653419494629,18.105653418062197,13.287369504402916,9.984964191913605,12.306000090647526,0.7117376294591484,0.03462596056508364,0.03776975073282081,0.03750807528019008,0.037638685601394974
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001E7C0D23940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001E7850365B0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19540043e+01 2.73501495e+02 1.24166174e+01 1.27664576e+08
 1.65378799e+01 4.55346555e-01 1.17491245e+01 3.67841780e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],12.41661507788199,9.285372734069824,0.7164887307236062,-0.3720650528082846,0.09186172485351562,17.04474115518352,12.661522890776476,9.4582839012146,11.416743949280793,0.7135981561822126,0.041688916684709344,0.4569286649603015,0.738534688949585,18.0582457413885,13.275000593604647,9.929104804992676,12.25002550468962,0.7110471806674339,0.040026601063713245,0.040857758874211295,0.040840850866406,0.04084930399550572
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001E7C0D23940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001E789E2B160>,StandardScaler(),IsolationForest(contamination=0.05),"[1.18361034e+01 2.64025238e+02 1.22248173e+01 1.27376416e+08
 1.62488537e+01 4.64158624e-01 1.15569782e+01 3.89744699e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],12.224814719950581,9.304505348205566,0.72089476359939,-0.0060821536629422366,0.39490509033203125,16.60268469607308,12.380005309887537,9.33803105354309,11.062524565336409,0.7200379609544468,0.05387290671159293,0.9657302041459824,1.0575315356254578,17.614674768430806,12.982183173103355,9.827878475189209,11.943744505694399,0.711277330264672,0.04981344346207499,0.05184317508683396,0.05176370830144424,0.05180342645632212
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001E7C0D23940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001E78991F0D0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.18039179e+01 2.65227112e+02 1.22603006e+01 1.31394304e+08
 1.62857952e+01 4.59413618e-01 1.15911541e+01 3.86966765e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],12.260299426906089,9.269729137420654,0.7185222843585833,-0.477249988704241,0.08667469024658203,16.609354332229625,12.3904374680096,9.332922220230103,11.071146386823207,0.7205463665943601,0.05439053249210247,0.3434912918489191,0.6139993667602539,17.50599365383631,12.954033339846669,9.834691762924194,11.779283565136122,0.7118527042577676,0.04915471590170157,0.05177262419690202,0.051640248371871124,0.05170639392175367
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001E7C0D23940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001E79317BCD0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.18798904e+01 2.67173492e+02 1.22638140e+01 1.20304696e+08
 1.63454418e+01 4.68225688e-01 1.15963202e+01 3.82467985e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],12.263815840933812,9.241285800933838,0.722928317234367,-0.3674402764822617,0.11590945720672607,16.984930762914995,12.45114272057509,9.281805276870728,11.557970416715058,0.7185805314533622,0.05956968907886959,0.5569606491693556,0.7016759514808655,17.771534998572623,13.06834576241029,9.811274766921997,12.055553955674648,0.7105868814729575,0.05141873604114085,0.055494212560005224,0.05519491091953496,0.055344359412673905
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001E7C0D23940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001E795458130>,StandardScaler(),IsolationForest(contamination=0.05),"[1.18001394e+01 2.64772919e+02 1.22547712e+01 1.33117600e+08
 1.62718449e+01 4.61786151e-01 1.15854502e+01 3.88016522e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],12.254770802706101,9.349939823150635,0.7197085239789867,0.03332108126270409,0.5568649768829346,16.630404495509744,12.395040066246096,9.371193647384644,11.087345862178791,0.7195295553145337,0.050512880562899896,0.891522485422457,1.0751464366912842,17.52891572728547,12.983536669876003,9.92459750175476,11.80957938642881,0.7120828538550058,0.0404623796453999,0.0454876301041499,0.044932465060041275,0.04520919541773329
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001E7C0D23940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001E79B6DA6D0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19277258e+01 2.66256744e+02 1.22787886e+01 1.27955456e+08
 1.63173752e+01 4.62463975e-01 1.16099195e+01 3.84586871e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],12.278790512179505,9.274225234985352,0.7200474495848161,-0.42235190232553055,0.0523526668548584,16.661750226088543,12.408316729546861,9.304784536361694,11.12747792829519,0.7209191973969631,0.057241435953189604,0.43713721537274514,0.5175294876098633,17.599520874449198,12.988812463580533,9.872225046157837,11.882995426911787,0.7158803222094361,0.045525893949805094,0.05138366495149735,0.05071587527279973,0.05104867816838621
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001E7C0D23940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001E79C85C130>,StandardScaler(),IsolationForest(contamination=0.05),"[1.19067984e+01 2.69846283e+02 1.23413420e+01 1.26135664e+08
 1.64269981e+01 4.57380116e-01 1.16716976e+01 3.76290143e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],12.341339192422158,9.282629489898682,0.7175055075410948,-0.2668967384182385,0.21178221702575684,16.75321808853429,12.467024498706008,9.330073833465576,11.194176369351664,0.7196312364425163,0.05467913036403394,0.6429485672259633,0.7261759042739868,17.714292359791315,13.081932119893123,9.904478669166565,11.960474089177008,0.7132336018411968,0.042407524195854134,0.04854332727994404,0.04776777105839345,0.04815398782988831
