learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.1}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001052D762940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001052EC25130>,StandardScaler(),IsolationForest(contamination=0.05),"[1.33590775e+01 3.31289246e+02 1.32450447e+01 1.56068624e+08
 1.82013531e+01 4.44331467e-01 1.25755377e+01 3.28129947e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],13.245043973557284,9.870455503463745,0.71021860701576,-0.523623514193193,0.008217811584472656,16.705483111481293,12.383527547076604,9.336758375167847,11.224544735568358,0.7214276030368764,0.055298514562773494,0.3089136091351372,0.6216583251953125,19.550946494432726,13.20245914245228,9.918024778366089,14.42255038499332,0.7104718066743383,0.048906068973843184,0.05210229176830834,0.051906219008259945,0.052004162981035204
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001052D762940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000105374138E0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.29895144e+01 3.21713470e+02 1.32634792e+01 1.50249200e+08
 1.79363728e+01 4.45009321e-01 1.25945435e+01 3.47550094e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],13.26348028584893,9.89736557006836,0.7105575326215896,-0.6375858180791568,-0.11397886276245117,16.787926890443504,12.458554803621562,9.334860801696777,11.270322529897303,0.7217326464208242,0.055490512727962515,0.135028445826987,0.5047173500061035,18.892962926871597,13.274426883462521,9.944403171539307,13.443645121033034,0.7117376294591484,0.04637649980882217,0.05093350626839234,0.0505257921840107,0.05072923962489284
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.1}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001052D762940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000010503C2EA60>,StandardScaler(),IsolationForest(contamination=0.05),"[1.57784462e+01 4.91436310e+02 1.62296619e+01 9.67301120e+07
 2.21683636e+01 2.11150631e-01 1.55580673e+01 3.34423780e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],16.229664001923823,11.669506549835205,0.5936281986104051,-1.1672350902781052,-0.2446143627166748,21.294422199306283,15.434514997692661,10.972524881362915,14.71674464501747,0.6081548264642083,-0.11020978994051867,-0.05347117949684415,0.752051591873169,23.081772048828846,16.567533231193096,11.793895959854126,16.070355108530126,0.5766398158803222,-0.13098153324225642,-0.12059566159138754,-0.1197012154021556,
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001052D762940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000010507A5C160>,StandardScaler(),IsolationForest(contamination=0.05),"[1.57768641e+01 4.90677948e+02 1.62530880e+01 1.13485664e+08
 2.21512508e+01 2.11150646e-01 1.55808029e+01 4.88227606e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],16.253087308119564,11.613745927810669,0.5936281986104051,-0.49778495629574626,0.46574997901916504,21.288756667651054,15.433510977952638,11.061766147613525,14.67166057686006,0.6081548264642083,-0.11923930033391952,0.5930497773909047,1.4566500186920166,23.070491278613748,16.602389391738882,11.888172149658203,16.028981878030606,0.5766398158803222,-0.14002219546751246,-0.129630747900716,-0.12879774967859525,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.1}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001052D762940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001050A57ED30>,StandardScaler(),IsolationForest(contamination=0.05),"[1.57786760e+01 4.91411194e+02 1.62450066e+01 1.02637680e+08
 2.21677971e+01 2.11150646e-01 1.55722837e+01 3.39519978e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],16.245001153811785,11.538592100143433,0.5936281986104051,-0.9492457652597843,0.021695613861083984,21.291289796355123,15.431543122512368,11.085981369018555,14.699643691149248,0.6081548264642083,-0.12168941789210376,0.12403720192036777,1.0474750995635986,23.071495062732264,16.57188009569642,11.686012983322144,16.051493862369643,0.5766398158803222,-0.12063604141968917,-0.12116272965589647,-0.1211604401688657,
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001052D762940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000105082645B0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.57820005e+01 4.90762024e+02 1.62541218e+01 1.15716896e+08
 2.21531487e+01 2.11150646e-01 1.55809765e+01 4.71174717e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],16.254126360367525,11.610524654388428,0.5936281986104051,-0.3572881097891196,0.45842862129211426,21.299289661059944,15.44278384018649,11.092246770858765,14.673095897592901,0.6081548264642083,-0.12232335680189173,0.7544190630951191,1.4735660552978516,23.087137643728894,16.623838100142528,11.826095342636108,16.037497941254628,0.5766398158803222,-0.1340693091080248,-0.12819633295495828,-0.12792727807562249,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.1}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001052D762940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000105111D1D00>,StandardScaler(),IsolationForest(contamination=0.05),"[1.31029463e+01 3.29054688e+02 1.35156717e+01 1.59458752e+08
 1.81398640e+01 4.31113362e-01 1.28469152e+01 3.32661808e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],13.515672116284854,10.09421157836914,0.7036095577020844,0.35637548675865677,0.6950000524520874,17.06946786695998,12.69063490663641,9.508375644683838,11.4208610830361,0.7142760303687635,0.037934127167932805,1.1743746019376846,1.3362885117530823,18.581520143166085,13.546014187398384,10.15293025970459,12.772493369458633,0.7016110471806675,0.026379690722282443,0.03215690894510762,0.03111899045452393,0.031633693153183984
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001052D762940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000010512F5DFA0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.30496178e+01 3.30277954e+02 1.35046549e+01 1.48358496e+08
 1.81735516e+01 4.32469040e-01 1.28355885e+01 3.30180943e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],13.504659686178863,9.980141639709473,0.7042874089137434,-0.1526323032783599,0.23932313919067383,17.153232563300506,12.715518158471612,9.493871927261353,11.513765781533815,0.7145471800433839,0.039401626148074013,0.6588923658271105,0.8249558806419373,18.65567673920734,13.57038429755336,10.083195686340332,12.817641735205116,0.7069044879171461,0.033066922403142414,0.036234274275608214,0.03595740608700575,0.036095574720400155
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.1}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001052D762940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000105167FAB20>,StandardScaler(),IsolationForest(contamination=0.05),"[ 1.31969051e+01  5.97744934e+02  1.35682526e+01  1.42030576e+08
  2.44488220e+01  4.41281140e-01  1.28988171e+01 -2.12254643e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],13.568255448680755,9.786787986755371,0.7086934417895272,-0.5467327347584877,-0.04710197448730469,18.41236427911553,12.57941065942909,9.365480899810791,13.456119390360358,0.7192584056399133,0.052392344069182986,0.27833185485715284,0.46704626083374023,18.665573917452697,13.245210976276217,9.82506799697876,13.153909033348684,0.7120828538550058,0.05782020587114774,0.05510627497016536,0.054972616490449676,0.05503940515805168
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.1}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x000001052D762940>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000010518EBFCA0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.30106697e+01 4.19261108e+02 1.34577589e+01 1.45078896e+08
 2.04758663e+01 4.47042882e-01 1.27870302e+01 1.49718940e-01]",[0. 0. 0. 0. 0. 0. 0. 0.],13.457763562736178,9.929272651672363,0.7115743094390781,-0.44912027900557716,-0.005109012126922607,17.41771916259415,12.55212587918763,9.360993146896362,12.083768132013885,0.7212242407809111,0.052846418885535915,0.4541320657496897,0.5768059492111206,18.213989403169897,13.25069389899526,9.93627643585205,12.504182243616787,0.7111622554660529,0.047155817179359745,0.05000111803244783,0.04983920691399383,0.049920096830336734
