learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'linear', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'linear', 'l2_reg': 0.001, 'l1_reg': 0.001}]",,False,,5,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_5e4 at 0x000001D7B2516E50>, 'description': 'Time-Based Decay 5e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D806F4FAF0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.23433804e+01 2.24209836e+02 1.15040903e+01 8.91574731e+02
 1.49419607e+01 5.79702124e-02 1.08359079e+01 2.81284928e-02]","[1.83174319e-01 8.59259656e+02 3.81251121e-01 2.06040421e+06
 9.47650107e-01 8.91183928e-03 3.75112560e-01 1.01273883e-03]",11.50409059255865,9.071342540532351,0.5289851075565362,-0.044109005022274786,-0.4903717041015625,15.01994625739052,11.501850710125673,9.189101219177246,9.650331902733752,0.5399188092016238,-0.04220547371791197,-0.7374502277701213,-1.3144755363464355,17.08496243975286,13.430308140154127,11.053420931100845,10.568179066375345,0.5316455696202531,-0.036717134616047725,-0.03946130416697985,-0.03927047249825451,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'linear', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'linear', 'l2_reg': 0.001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),5,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_5e4 at 0x000001D7B2516E50>, 'description': 'Time-Based Decay 5e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D8031B36D0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.15175200e+01 2.26266193e+02 1.14263771e+01 1.00082550e+03
 1.50006474e+01 9.59367533e-02 1.07580721e+01 2.21718669e-02]","[6.46196067e-01 1.13748444e+03 4.35792115e-01 3.11074100e+06
 1.24677572e+00 3.58844765e-03 4.36062782e-01 2.19941871e-04]",11.426376863228091,8.866234781593084,0.547968376539805,0.44112311327056164,0.056532084941864014,15.0676994713393,11.428377997747676,8.749946415424347,9.820673174532933,0.5399188092016238,0.00760239425133068,-0.19141770090774204,-1.2307796776294708,17.297751069396863,13.434299505962146,10.467775076627731,10.880576350047383,0.5548523206751055,0.01821147942422711,0.012906936837778896,0.01072685550592627,0.011766513777792092
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'linear', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'linear', 'l2_reg': 0.001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),5,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_5e4 at 0x000001D7B2516E50>, 'description': 'Time-Based Decay 5e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D809DCD7C0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.16760565e+01 2.26258206e+02 1.14261780e+01 4.22069577e+02
 1.49996044e+01 6.34123933e-02 1.07592337e+01 2.24313259e-02]","[5.02592675e-01 1.15532518e+03 4.30328805e-01 3.42932766e+05
 1.27007082e+00 6.19300196e-03 4.29718815e-01 2.00454600e-04]",11.426177875889982,8.790916676074266,0.5317061959919103,0.16943476113197123,-0.31035637855529785,14.981478964599596,11.393343925748288,8.850432604551315,9.720559716824848,0.5372124492557511,-0.0037945045142002342,-0.3974185025138694,-1.1372902393341064,17.176268625961686,13.382621781263925,10.53411054611206,10.75682472227475,0.5569620253164557,0.011989775005669794,0.00409763524573478,-0.011102807510896703,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'linear', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'linear', 'l2_reg': 0.001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),5,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_5e4 at 0x000001D7B2516E50>, 'description': 'Time-Based Decay 5e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D80B972520>,StandardScaler(),IsolationForest(contamination=0.05),"[1.15042913e+01 2.27290460e+02 1.14224560e+01 2.67156828e+02
 1.50386192e+01 6.61518618e-02 1.07601444e+01 1.66206241e-02]","[2.04518551e-01 1.03423873e+03 3.73280813e-01 8.58360451e+04
 1.13040092e+00 9.29877407e-03 3.79555268e-01 3.51967585e-04]",11.422456116490679,8.73956111073494,0.533075933075933,0.27967658399003126,-0.17375344038009644,15.078418311276973,11.451587898039206,9.076684832572937,9.804104417192436,0.5263870094722598,-0.02945548101894266,-0.44204360317391683,-1.492657843977213,17.21266768962377,13.374830474408995,10.697756052017212,10.826239408984241,0.5527426160337553,-0.0033587855017319316,-0.016407133260337294,-0.006029977389903325,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'linear', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'linear', 'l2_reg': 0.001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),5,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_5e4 at 0x000001D7B2516E50>, 'description': 'Time-Based Decay 5e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D80A36C730>,StandardScaler(),IsolationForest(contamination=0.05),"[1.15712337e+01 2.26187573e+02 1.14091534e+01 3.85265118e+02
 1.49965000e+01 1.14984372e-01 1.07487179e+01 2.28466272e-02]","[7.80885898e-01 1.17525710e+03 4.03842072e-01 2.44243030e+05
 1.29256261e+00 5.72770951e-03 4.04618207e-01 3.87850376e-04]",11.409153441625755,8.725810375809669,0.5574921860636147,0.4119232114157432,-0.34490227699279785,14.938723158084535,11.34826636773122,8.80879521369934,9.714818978243096,0.5764546684709067,0.0009279069188893348,-0.36509883336974347,-1.2086897492408752,17.278123548206274,13.372078020117769,10.950191378593445,10.930536249032857,0.5780590717299579,-0.027035078124192886,-0.013053585602651775,0.0019217735883278052,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'linear', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'linear', 'l2_reg': 0.001, 'l1_reg': 0.001}]",,False,,5,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_5e4 at 0x000001D7B2516E50>, 'description': 'Time-Based Decay 5e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D80C9B6E20>,StandardScaler(),IsolationForest(contamination=0.05),"[1.25335840e+01 2.24053946e+02 1.15052652e+01 3.95746291e+03
 1.49381384e+01 8.23313124e-02 1.08396242e+01 2.82762647e-02]","[3.54195773e-01 8.20381565e+02 3.81822133e-01 5.80715078e+07
 9.05975508e-01 9.02370899e-03 3.80877695e-01 1.33390826e-03]",11.505264885152988,9.045567686855794,0.5411656554513697,0.06769395780942437,-0.6933791637420654,14.92928763338499,11.396990455021635,8.770251631736755,9.634356330045463,0.5453315290933695,0.00529942608490612,-0.8121124482576103,-1.4268697500228882,17.16954845230484,13.454885599403818,10.795243829488754,10.678840429719044,0.5464135021097046,-0.012502312193637139,-0.0036014430543655097,0.01839681437702841,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'linear', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'linear', 'l2_reg': 0.001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),5,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_5e4 at 0x000001D7B2516E50>, 'description': 'Time-Based Decay 5e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D814010670>,StandardScaler(),IsolationForest(contamination=0.05),"[1.20607183e+01 2.27063937e+02 1.13961666e+01 3.11969090e+02
 1.50251749e+01 8.23864631e-02 1.07307331e+01 1.92423463e-02]","[5.26553724e-01 1.20194081e+03 4.11166474e-01 1.47658904e+05
 1.30806560e+00 5.24078585e-03 4.09773168e-01 1.48601041e-04]",11.396166827286924,8.662234193086624,0.5411932340503769,0.14258872456495753,-0.2369931936264038,15.073347297876781,11.414158508665507,8.722590923309326,9.837001989702564,0.5466847090663058,0.010704987523349778,-0.5539188248887343,-1.7151150703430176,17.312717373355316,13.443792014905421,10.53953206539154,10.90504512193653,0.5421940928270043,0.011481282479444398,0.011093135001397088,0.011079553767174705,0.01108634230458841
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'linear', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'linear', 'l2_reg': 0.001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),5,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_5e4 at 0x000001D7B2516E50>, 'description': 'Time-Based Decay 5e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D81A96C520>,StandardScaler(),IsolationForest(contamination=0.05),"[1.16803143e+01 2.25875748e+02 1.14286009e+01 1.79252931e+02
 1.49901688e+01 7.69075170e-02 1.07646694e+01 2.30967879e-02]","[5.08272490e-01 1.06158189e+03 4.31024457e-01 8.90674868e+03
 1.17059844e+00 8.10374256e-03 4.31551743e-01 4.77480367e-04]",11.428600731260548,8.839144375920295,0.5384537598823312,0.0479975782576772,-0.4039846658706665,15.035715536768896,11.425264975673572,8.792691200971603,9.765320775968652,0.5317997293640054,0.0027543848097459564,-0.5459673113114974,-1.7801107168197632,17.238396828472546,13.419131425063947,10.657581895589828,10.816988643116192,0.5379746835443038,0.00040920963720519026,0.0015817972234755734,0.0007125570787405261,0.0010616594598644284
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'linear', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'linear', 'l2_reg': 0.001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),5,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_5e4 at 0x000001D7B2516E50>, 'description': 'Time-Based Decay 5e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D813B595E0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.18182543e+01 2.27496243e+02 1.14599472e+01 4.84611963e+02
 1.50414984e+01 5.54145982e-02 1.07942533e+01 1.68817282e-02]","[2.45467369e-01 1.14686944e+03 4.48196498e-01 5.15062710e+05
 1.24956996e+00 1.54037712e-03 4.48023281e-01 9.96227920e-05]",11.459947693045333,9.01671177148819,0.5277072991358706,0.19569996877980492,-0.13990727066993713,15.050344500891345,11.425938342432007,8.867772936820984,9.788884162324095,0.5426251691474966,-0.005761202755571227,-0.41595491531937684,-1.6008006483316422,17.371342104602196,13.47108889984965,10.57858781516552,10.958239669040525,0.5548523206751055,0.00781818439891843,0.0010284908216736015,-0.043794406866284386,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.001}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'linear', 'l2_reg': 0.0001, 'l1_reg': 0.001}, {'nodes': 256, 'activation': 'linear', 'l2_reg': 0.001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),5,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function time_based_decay_5e4 at 0x000001D7B2516E50>, 'description': 'Time-Based Decay 5e-4'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000001D8163BFEE0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.15841469e+01 2.25597421e+02 1.14642609e+01 2.46988855e+02
 1.49872702e+01 8.25335488e-02 1.07966820e+01 2.25538135e-02]","[2.64980071e-01 8.85136816e+02 3.10772287e-01 4.12981490e+04
 9.79154416e-01 1.00495328e-02 3.12397635e-01 6.70751832e-04]",11.464260983557256,8.999257980287075,0.5412667769810626,0.04561186329296542,-0.41993045806884766,15.008997558902795,11.422862419422529,9.1332368850708,9.72694713377832,0.5683355886332883,-0.03586947704069216,-0.7675539974107521,-1.730226993560791,17.244078862508058,13.355193406123401,10.387457251548767,10.91834990314225,0.540084388185654,0.025744610207310746,-0.005062433416690708,0.18241142722156622,
