learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.MeanSquaredLogarithmicError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredLogarithmicError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'softsign', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",,False,,3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000002DF0DEE43A0>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.4,val_loss,<keras.src.engine.sequential.Sequential object at 0x000002E1FD8317C0>,StandardScaler(),IsolationForest(contamination=0.05),"[4.17988634e+00 2.30247309e+02 1.14922851e+01 1.24373598e+03
 1.51568578e+01 1.52458082e-01 1.08305136e+01 5.20636837e-02]","[1.24688736e-03 4.59369493e+02 2.03484928e-01 1.26427194e+06
 5.16966773e-01 3.80863342e-03 2.02848556e-01 1.40879140e-04]",11.492285236426445,8.76201488946875,0.5762290423415743,1.4268273336647945,1.0465120077133179,15.087016760540985,11.42003867286156,8.69282180070877,9.95707763198506,0.5783744557329463,0.061309208756586624,0.28969662412712277,-0.6891998648643494,16.200294496480637,12.333574257141283,9.129932582378387,10.47973488938449,0.5891472868217055,0.04642200475067739,0.05386560675363201,0.05283698730390021,0.05334881798276824
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.MeanSquaredLogarithmicError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredLogarithmicError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'softsign', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000002DF0DEE43A0>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.4,val_loss,<keras.src.engine.sequential.Sequential object at 0x000002E147B49CA0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.93946819e+00 2.41344020e+02 1.17176844e+01 8.86178828e+02
 1.55207701e+01 5.51356127e-02 1.10527372e+01 5.59127331e-03]","[1.52174392e-02 4.25266922e+02 1.70737486e-01 6.30580254e+05
 4.49721476e-01 2.95867806e-04 1.68286300e-01 1.48711542e-04]",11.717684748492943,9.028640220562616,0.527567806510688,1.8827334518053709,1.5762493908405304,15.534820425996367,11.799590364844688,8.979904651641846,10.273580729044337,0.5043541364296081,0.03030868502874364,0.5459533669920855,-1.2184207439422607,16.573186265544695,12.550060810275781,9.242157682776451,10.809849461598615,0.5658914728682171,0.03470062726090391,0.03250465614482377,0.03235629927185233,0.03243039287382396
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.MeanSquaredLogarithmicError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredLogarithmicError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'softsign', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",0.9,True,PCA(n_components=0.9),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000002DF0DEE43A0>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.4,val_loss,<keras.src.engine.sequential.Sequential object at 0x000002E16AB7DA90>,StandardScaler(),IsolationForest(contamination=0.05),"[2.08496809e+00 2.36999471e+02 1.16308629e+01 9.46648168e+02
 1.53774818e+01 9.29399089e-02 1.09696684e+01 2.41969625e-02]","[8.70532879e-04 4.86962260e+02 2.25344993e-01 6.20917054e+05
 5.32524835e-01 2.58540461e-03 2.22444193e-01 2.90010387e-04]",11.630862359728019,8.841122349103292,0.5464699567427616,1.558309672914002,1.2556188702583313,15.30145221443986,11.613846293773573,8.86273469030857,10.078946053996814,0.5507982583454282,0.04296123517131347,0.010204539829215337,-1.3702951669692993,16.382990372483746,12.48406439722162,9.209232985973358,10.580367986173554,0.6085271317829457,0.038139455104198486,0.040550345137755975,0.04040700749823254,0.040478612871950335
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.MeanSquaredLogarithmicError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredLogarithmicError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'softsign', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000002DF0DEE43A0>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.4,val_loss,<keras.src.engine.sequential.Sequential object at 0x000002E24B080F10>,StandardScaler(),IsolationForest(contamination=0.05),"[2.32951697e+00 2.38291987e+02 1.16486365e+01 4.69829905e+02
 1.54215272e+01 6.97073011e-02 1.09855537e+01 1.84452931e-02]","[4.85686215e-03 4.32519929e+02 1.87472568e-01 8.07340152e+04
 4.68489981e-01 1.92182869e-03 1.86130762e-01 2.60598071e-05]",11.648636317040152,8.856908094137907,0.5348536516055697,1.6758936788070358,1.421883076429367,15.395817123995085,11.679189633691605,8.824327185750008,10.16559468329841,0.5239477503628447,0.047108653773731295,0.2166487090578375,-1.2961912155151367,16.44520984293724,12.492880946443986,9.265692472457886,10.668302929534875,0.5852713178294574,0.03224253051587947,0.039675592144805386,0.038283038128780575,0.03897309593631909
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.MeanSquaredLogarithmicError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredLogarithmicError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'softsign', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",0.99,True,PCA(n_components=0.99),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000002DF0DEE43A0>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.4,val_loss,<keras.src.engine.sequential.Sequential object at 0x000002E24C3B0250>,StandardScaler(),IsolationForest(contamination=0.05),"[2.80603790e+00 2.39060684e+02 1.16765455e+01 8.40558929e+02
 1.54491580e+01 6.96725709e-02 1.10132465e+01 1.45213207e-02]","[2.94916310e-03 3.57759160e+02 1.35176648e-01 9.59604813e+05
 3.84215163e-01 1.17855039e-04 1.33201409e-01 9.67673170e-05]",11.676545644930014,8.743095874786377,0.5348362855609232,1.5074899918163203,1.2361375093460083,15.384786525719276,11.645805457739378,8.709306731820107,10.160834373168756,0.5391872278664731,0.059529090242339475,-0.11367035134471665,-1.6511933207511902,16.447947179267135,12.509966367061518,9.5626952201128,10.650809011556058,0.5736434108527132,0.001222007402823213,0.030375548822581346,0.0023948534850962403,0.008529067297159165
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.MeanSquaredLogarithmicError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredLogarithmicError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'softsign', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",,False,,3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000002DF0DEE43A0>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.4,val_loss,<keras.src.engine.sequential.Sequential object at 0x000002E24A7D85E0>,StandardScaler(),IsolationForest(contamination=0.05),"[4.08633558e+00 2.31138926e+02 1.15154966e+01 1.02896487e+03
 1.51855974e+01 1.24865017e-01 1.08511874e+01 4.85425790e-02]","[6.25705248e-03 4.78421224e+02 2.27168767e-01 6.60705273e+05
 5.36566698e-01 2.43059439e-03 2.25859332e-01 1.38082953e-04]",11.515496752854277,8.78536864121755,0.5624325092355783,1.351674476576258,1.0869869738817215,15.101620665090353,11.438487344117313,8.649068415164948,9.947526691203558,0.5674891146589259,0.06603390012117445,0.1679151863899342,-1.0508148670196533,16.25411588447796,12.378521867211937,9.293114244937897,10.507167442002311,0.5658914728682171,0.029378456921498115,0.04770617852133628,0.040665049060695395,0.044045136962761654
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.MeanSquaredLogarithmicError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredLogarithmicError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'softsign', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",0.85,True,PCA(n_components=0.85),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000002DF0DEE43A0>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.4,val_loss,<keras.src.engine.sequential.Sequential object at 0x000002E24C3A8BB0>,StandardScaler(),IsolationForest(contamination=0.05),"[1.90692679e+00 2.40602768e+02 1.17046963e+01 1.03837674e+03
 1.54979451e+01 5.66290952e-02 1.10425485e+01 8.42010975e-03]","[1.34133174e-02 3.88796961e+02 1.84110607e-01 1.00578313e+06
 4.16470015e-01 8.64966257e-04 1.83064516e-01 9.09173004e-05]",11.704696342699174,9.02163807551066,0.5283145464304885,1.7271017969379145,1.5329585075378418,15.39169554374783,11.687006775160011,8.947632029652596,10.158937941302174,0.5333817126269956,0.0337936308570498,0.32604690095366434,-1.1948882937431335,16.445456957820035,12.48104762023156,9.202980756759644,10.685368063118236,0.6007751937984496,0.038792470681877605,0.0362930507694637,0.03612092140127547,0.03620688379654204
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.MeanSquaredLogarithmicError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredLogarithmicError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'softsign', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",0.9,True,PCA(n_components=0.9),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000002DF0DEE43A0>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.4,val_loss,<keras.src.engine.sequential.Sequential object at 0x000002E254526F40>,StandardScaler(),IsolationForest(contamination=0.05),"[2.09024338e+00 2.37873296e+02 1.16411044e+01 7.23514936e+02
 1.54112320e+01 8.27381462e-02 1.09782311e+01 1.92635854e-02]","[9.92996625e-03 3.41082658e+02 1.39390395e-01 3.18148963e+05
 3.67234547e-01 2.00679453e-04 1.37738345e-01 1.43945769e-04]",11.641104600047884,8.873820324738821,0.5413690758106785,1.5650502400572786,1.3576955497264862,15.370926718610697,11.652973969841407,8.850271597504616,10.140322117519425,0.5471698113207547,0.044307057128060684,0.014516545835044957,-1.5236761569976807,16.4010566533484,12.500091277192844,9.091341078281403,10.589362748788165,0.6007751937984496,0.05045270363902255,0.047379880383541614,0.04718059235911038,0.04728013137036833
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.MeanSquaredLogarithmicError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredLogarithmicError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'softsign', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",0.95,True,PCA(n_components=0.95),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000002DF0DEE43A0>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.4,val_loss,<keras.src.engine.sequential.Sequential object at 0x000002E25424DE20>,StandardScaler(),IsolationForest(contamination=0.05),"[2.38144382e+00 2.40284317e+02 1.16964970e+01 5.19923869e+02
 1.54882962e+01 5.08067322e-02 1.10339816e+01 9.57812866e-03]","[8.35213171e-03 3.71064305e+02 1.47025392e-01 2.31082384e+05
 3.96997465e-01 2.23220752e-04 1.46157063e-01 7.88823563e-05]",11.696497678277217,8.833564303815365,0.5254033658551988,1.6315897386548135,1.3758351504802704,15.43097001808996,11.701970417036287,8.811094105243683,10.185445357539297,0.5159651669085631,0.048537622536217254,0.044869869831920595,-1.6605392396450043,16.60652582949169,12.623401384483012,9.2604238986969,10.761432005961764,0.5581395348837209,0.03279280796420601,0.040665215250211634,0.03914119045173397,0.039895926294163046
0.001,128,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.001}","(<class 'keras.src.losses.MeanSquaredLogarithmicError'>, {'reduction': 'auto'})",<class 'keras.src.losses.MeanSquaredLogarithmicError'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 256, 'activation': 'softsign', 'l2_reg': 0.1, 'l1_reg': 0.0001}]",0.99,True,PCA(n_components=0.99),3,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function step_decay_70_10 at 0x000002DF0DEE43A0>, 'description': 'Step Decay 70% every 10 epochs'}",True,0.4,val_loss,<keras.src.engine.sequential.Sequential object at 0x000002E25D828910>,StandardScaler(),IsolationForest(contamination=0.05),"[2.78732475e+00 2.39149267e+02 1.16812773e+01 3.31876007e+02
 1.54521901e+01 7.25679658e-02 1.10156291e+01 1.41059359e-02]","[2.36489667e-03 3.53242183e+02 1.20632479e-01 3.12773074e+04
 3.79087695e-01 1.14820938e-04 1.19414092e-01 1.08588067e-04]",11.68127862023313,8.69413560628891,0.5362839821919105,1.544370172507466,1.1535316705703735,15.376189024051985,11.642302384994741,8.756551593542099,10.157379666685232,0.5319303338171263,0.05442737325690825,-0.03841769308313843,-1.9325196146965027,16.308500203765018,12.399708167873612,9.464207112789154,10.564924899541301,0.6589147286821705,0.011508621360833126,0.03296799730887069,0.018999759815860908,0.025027665302190933
