learning_rate,batch_size,optimizer,optimizer_name,optimizer_params,loss_function,loss_function_class,loss_function_params,metrics,epochs,activation_layers,pca_threshold,pca,pca_transform,n_splits,class_weights_enabled,outlier_dict,stratification_enabled,lr_schedule_enabled,lr_schedule_strategy,dropout_enabled,dropout_rate,early_stopping_metric,model,scaler,outlier_detection,avg_score,variance_score,mean_absolute_error_residuals_cv,median_absolute_error_residuals_cv,avg_sign_accuracy,validation_train_error_mean,validation_train_error_median,validation_train_error_std,validation_train_abserror_mean,validation_train_abserror_median,validation_train_abserror_std,validation_training_success,validation_training_improvement,validation_test_error_mean,validation_test_error_median,validation_test_error_std,validation_test_abserror_mean,validation_test_abserror_median,validation_test_abserror_std,validation_test_success,validation_test_improvement,validation_avg_train_test_improvement,validation_train_test_harmonic_mean,validation_train_test_geometric_mean
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000028608458F70>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000028609C9DFA0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.77970695e+00  1.75661835e+02  1.00527592e+01  1.50972046e+02
  1.32537479e+01  5.67010306e-02  9.39773750e+00 -1.77907944e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.052758780797733,8.18422058224678,0.5283505154639175,0.9574323680467349,-0.3896089792251587,12.431781967571679,9.422859945973336,7.404116630554199,8.16273099810293,0.5325413223140496,0.05425098539624818,-0.4750345470474687,-1.2087438106536865,12.82011681843622,9.796658140408445,7.794507145881653,8.274830203153757,0.499302649930265,-0.009430281718723609,0.022410351838762287,-0.022828828368507945,
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",,False,,1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000028608458F70>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000028609206070>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.77100372e+00  1.76472824e+02  1.01524200e+01  2.00943909e+02
  1.32843075e+01  5.67010306e-02  9.49144363e+00 -6.40404224e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.152420377377997,8.241957128047943,0.5283505154639175,0.4418713498190969,-0.8075520098209381,12.431181309207101,9.460608803224558,7.372788846492767,8.07342840231091,0.53150826446281,0.05825257294330991,-1.0083568781468826,-1.568818211555481,12.7986195831842,9.834928396886612,7.753028154373169,8.243904319138911,0.499302649930265,-0.004058530907520598,0.027097021017894657,-0.008724939452823675,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000028608458F70>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000285EEF70970>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.63207531e+00  1.75384445e+02  1.00747318e+01  1.57359985e+02
  1.32432795e+01  5.67010194e-02  9.41888523e+00 -1.97172165e-04]",[0. 0. 0. 0. 0. 0. 0. 0.],10.0747321320256,8.10320845246315,0.5283505154639175,0.7648678651187292,-0.5197555422782898,12.441681863327185,9.449380987346911,7.461807131767273,8.12673529874541,0.5320247933884298,0.04688201251309451,-0.5912240369341529,-1.3822402954101562,12.793148354036626,9.796484484312591,7.889183044433594,8.240724042869022,0.499302649930265,-0.02169131595201111,0.0125953482805417,-0.08073873967095536,
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.85,True,PCA(n_components=0.85),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000028608458F70>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000286032BA4C0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.59883118e+00  1.76008698e+02  1.00557079e+01  1.49489365e+02
  1.32668266e+01  5.67010194e-02  9.40115166e+00 -3.75723839e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.055708830657693,8.255151271820068,0.5283505154639175,1.0433765842525426,-0.2935444116592407,12.438690311534147,9.440230654644942,7.344917953014374,8.163712596682428,0.5320247933884298,0.06181260195940388,-0.30182341221236786,-0.971320390701294,12.814652684469088,9.776638407026375,7.7830283641815186,8.28193178864659,0.499302649930265,-0.007943718215927096,0.02693444187173839,-0.018230260515402923,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000028608458F70>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000028608A44CD0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.61865139e+00  1.75640137e+02  1.00628891e+01  1.55366028e+02
  1.32529297e+01  5.67010306e-02  9.40896702e+00 -1.65534019e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.062889253663034,8.164331436157227,0.5283505154639175,0.8744207737459377,-0.3535565733909607,12.434490597469832,9.442719199840933,7.400361180305481,8.134527478215674,0.5320247933884298,0.05473067980806526,-0.46452145536158707,-1.1534478664398193,12.797839407714614,9.789301252161442,7.821378946304321,8.248424982032542,0.499302649930265,-0.01291032331253696,0.02091017824776415,-0.03379171440169879,
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.9,True,PCA(n_components=0.9),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000028608458F70>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002860975BCA0>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.61459255e+00  1.75395081e+02  1.00687876e+01  1.55695801e+02
  1.32436810e+01  5.67010306e-02  9.41212654e+00 -2.57849693e-04]",[0. 0. 0. 0. 0. 0. 0. 0.],10.068787970647369,8.095812737941742,0.5283505154639175,0.8430988473186561,-0.4923797696828842,12.437804849235254,9.440487379808564,7.449469745159149,8.138876594266081,0.5320247933884298,0.0484579022254835,-0.5396297454958681,-1.3235821723937988,12.815451943240753,9.810646182967862,7.862836956977844,8.254950713377857,0.499302649930265,-0.018279356993618857,0.01508927261593232,-0.05870258404677653,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000028608458F70>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002860B728910>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.67066765e+00  1.75504150e+02  1.00860691e+01  1.69368134e+02
  1.32477980e+01  6.18556701e-02  9.43068886e+00 -8.79764557e-04]",[0. 0. 0. 0. 0. 0. 0. 0.],10.08606870303449,8.180602550506592,0.5309278350515464,0.6378573897363972,-0.6276159435510635,12.434177887218153,9.442065213645293,7.4258352518081665,8.112778984648644,0.5335743801652892,0.05147680372483464,-0.6845061619203626,-1.427682876586914,12.798783229250086,9.818139448637243,7.779146432876587,8.230890711657835,0.496513249651325,-0.007440987390563713,0.02201790816713546,-0.01739666840807117,
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.95,True,PCA(n_components=0.95),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000028608458F70>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x000002860909EEE0>,StandardScaler(),IsolationForest(contamination=0.05),"[9.60255623e+00 1.75137283e+02 1.00526295e+01 1.53951263e+02
 1.32339439e+01 5.15463762e-02 9.39362621e+00 1.21235847e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.05262846609136,8.157166481018066,0.5257731958762887,0.9074586316758444,-0.4168967753648758,12.431708665882159,9.440708569381847,7.415101051330566,8.136230598215558,0.5320247933884298,0.05284791388298048,-0.4439842365214515,-1.0127683281898499,12.811190360622923,9.80125553749055,7.858608365058899,8.253800167643465,0.500697350069735,-0.017731731768299792,0.017558091057340342,-0.05337055323536771,
0.01,32,"(<class 'keras.src.optimizers.adam.Adam'>, {'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adam.Adam'>,"{'beta_1': 0.99, 'beta_2': 0.9995, 'epsilon': 1e-06, 'amsgrad': False, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000028608458F70>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x00000285EEA0ED00>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.64021015e+00  1.75650848e+02  1.00638123e+01  1.58323608e+02
  1.32533331e+01  5.67010306e-02  9.40968037e+00 -1.71649456e-03]",[0. 0. 0. 0. 0. 0. 0. 0.],10.063812179817367,8.234403312206268,0.5283505154639175,0.9724880071580102,-0.29663926362991333,12.443571140768327,9.444162096377955,7.298567295074463,8.157842395426151,0.5304752066115702,0.06773310419622847,-0.36627181146600424,-1.1601347923278809,12.80078684844589,9.78847893417879,7.716530382633209,8.249021009748192,0.497907949790795,0.0006681253543880485,0.03420061477530826,0.001323198560675577,0.006727124515341437
0.01,32,"(<class 'keras.src.optimizers.adamax.Adamax'>, {'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01})",<class 'keras.src.optimizers.adamax.Adamax'>,"{'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'learning_rate': 0.01}","(<class 'keras.src.losses.Huber'>, {'reduction': 'auto'})",<class 'keras.src.losses.Huber'>,{'reduction': 'auto'},"[(<class 'keras.src.metrics.regression_metrics.MeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsoluteError'>, {}), (<class 'keras.src.metrics.regression_metrics.MeanAbsolutePercentageError'>, {}), (<class 'keras.src.metrics.regression_metrics.RootMeanSquaredError'>, {}), (<class 'keras.src.metrics.regression_metrics.CosineSimilarity'>, {}), (<class 'keras.src.metrics.regression_metrics.LogCoshError'>, {}), (<class 'tensorflow_addons.metrics.r_square.RSquare'>, {})]",200,"[{'nodes': 128, 'activation': 'softplus', 'l2_reg': 0.0001, 'l1_reg': 0.001}]",0.99,True,PCA(n_components=0.99),1,True,"{'enabled': True, 'contamination': 0.05, 'remove_outliers': False}",False,True,"{'method': <function cosine_annealing_50 at 0x0000028608458F70>, 'description': 'Cosine Annealing with 50 epochs cycle'}",True,0.9,val_root_mean_squared_error,<keras.src.engine.sequential.Sequential object at 0x0000028620030A30>,StandardScaler(),IsolationForest(contamination=0.05),"[ 9.60901737e+00  1.75520355e+02  1.00470533e+01  1.58967010e+02
  1.32484093e+01  6.70102984e-02  9.39052010e+00 -9.72270966e-04]",[0. 0. 0. 0. 0. 0. 0. 0.],10.047053570062229,7.937846601009369,0.5335051546391752,0.9512074819096357,-0.37617871165275574,12.421278355892458,9.421363373848894,7.357756316661835,8.147727263522865,0.5366735537190083,0.06017272101552388,-0.48496896140744994,-1.1036862134933472,12.82632562011506,9.8064514393587,7.915070056915283,8.273412338252392,0.49372384937238495,-0.025043822250764677,0.017564449382379603,-0.08579573982941857,
